  i            r          v_r          rho          t_r          t_e
 73 3.827660e+13 2.949073e+09 1.792858e-12 2.045345e+05 1.840810e+05
 74 3.951937e+13 2.849540e+09 1.716051e-12 2.006227e+05 1.805605e+05
 75 4.080248e+13 2.752270e+09 1.639067e-12 1.967935e+05 1.771141e+05
 76 4.212725e+13 2.665503e+09 1.564029e-12 1.929917e+05 1.736925e+05
 77 4.349504e+13 2.596283e+09 1.490677e-12 1.891989e+05 1.702790e+05
 78 4.490723e+13 2.534793e+09 1.417064e-12 1.854340e+05 1.668906e+05
 79 4.636528e+13 2.472497e+09 1.343723e-12 1.817109e+05 1.635398e+05
 80 4.787067e+13 2.415846e+09 1.273755e-12 1.780442e+05 1.602397e+05
 81 4.942493e+13 2.373453e+09 1.207820e-12 1.744220e+05 1.569798e+05
 82 5.102966e+13 2.338641e+09 1.146991e-12 1.708138e+05 1.537324e+05
 83 5.268649e+13 2.300258e+09 1.089399e-12 1.672352e+05 1.505117e+05
 84 5.439711e+13 2.263282e+09 1.034739e-12 1.637592e+05 1.473833e+05
 85 5.616327e+13 2.236630e+09 9.825524e-13 1.604001e+05 1.443601e+05
 86 5.798678e+13 2.217998e+09 9.330010e-13 1.570615e+05 1.413554e+05
 87 5.986949e+13 2.198064e+09 8.861511e-13 1.536900e+05 1.383210e+05
 88 6.181334e+13 2.177933e+09 8.413705e-13 1.503916e+05 1.353525e+05
 89 6.382029e+13 2.164612e+09 7.982364e-13 1.472682e+05 1.325414e+05
 90 6.589240e+13 2.159527e+09 7.571635e-13 1.442576e+05 1.298318e+05
 91 6.803180e+13 2.155688e+09 7.176547e-13 1.412867e+05 1.271580e+05
 92 7.024065e+13 2.152278e+09 6.805324e-13 1.383918e+05 1.245526e+05
 93 7.252122e+13 2.151793e+09 6.451728e-13 1.356100e+05 1.220490e+05
 94 7.487584e+13 2.156884e+09 6.118972e-13 1.329112e+05 1.196201e+05
 95 7.730691e+13 2.163522e+09 5.804754e-13 1.302478e+05 1.172230e+05
 96 7.981690e+13 2.169350e+09 5.505563e-13 1.276771e+05 1.149094e+05
 97 8.240840e+13 2.174182e+09 5.222192e-13 1.252935e+05 1.127642e+05
 98 8.508403e+13 2.180505e+09 4.947678e-13 1.230307e+05 1.107276e+05
 99 8.784654e+13 2.190025e+09 4.694104e-13 1.207734e+05 1.086961e+05
100 9.069873e+13 2.202600e+09 4.453946e-13 1.185455e+05 1.066909e+05
101 9.364354e+13 2.213678e+09 4.217005e-13 1.164597e+05 1.048138e+05
102 9.668395e+13 2.221103e+09 3.992073e-13 1.145099e+05 1.030589e+05
103 9.982308e+13 2.229545e+09 3.785152e-13 1.126165e+05 1.013548e+05
104 1.030641e+14 2.244023e+09 3.601539e-13 1.107433e+05 9.966895e+04
105 1.064104e+14 2.257551e+09 3.420584e-13 1.089299e+05 9.803691e+04
106 1.098654e+14 2.263194e+09 3.249048e-13 1.071967e+05 9.647703e+04
107 1.134325e+14 2.267306e+09 3.085372e-13 1.055224e+05 9.497017e+04
108 1.171154e+14 2.280097e+09 2.939506e-13 1.038716e+05 9.348445e+04
109 1.209179e+14 2.294743e+09 2.797992e-13 1.022655e+05 9.203897e+04
