  i   j inwind            r        theta           v_x          v_y           v_z          rho          t_e          t_r
  0  43     -1 2.171758e+13 3.071429e+01  7.666531e+09 0.000000e+00  1.328202e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  44     -1 2.171758e+13 3.142857e+01  7.823963e+09 0.000000e+00  1.318643e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  45     -1 2.171758e+13 3.214286e+01  7.967289e+09 0.000000e+00  1.307518e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  46     -1 2.171758e+13 3.285714e+01  8.096953e+09 0.000000e+00  1.294816e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  47     -1 2.171758e+13 3.357143e+01  8.213159e+09 0.000000e+00  1.280429e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  48     -1 2.171758e+13 3.428571e+01  8.316262e+09 0.000000e+00  1.264244e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  49     -1 2.171758e+13 3.500000e+01  8.405310e+09 0.000000e+00  1.245983e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  50     -1 2.171758e+13 3.571429e+01  8.479631e+09 0.000000e+00  1.225867e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  51     -1 2.171758e+13 3.642857e+01  8.537607e+09 0.000000e+00  1.203930e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  52     -1 2.171758e+13 3.714286e+01  8.577503e+09 0.000000e+00  1.180243e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  53     -1 2.171758e+13 3.785714e+01  8.597484e+09 0.000000e+00  1.154929e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  54     -1 2.171758e+13 3.857143e+01  8.597178e+09 0.000000e+00  1.128074e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  55     -1 2.171758e+13 3.928571e+01  8.577880e+09 0.000000e+00  1.099906e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  56     -1 2.171758e+13 4.000000e+01  8.541403e+09 0.000000e+00  1.070625e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  57     -1 2.171758e+13 4.071429e+01  8.490034e+09 0.000000e+00  1.040472e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  58     -1 2.171758e+13 4.142857e+01  8.425862e+09 0.000000e+00  1.009634e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  59     -1 2.171758e+13 4.214286e+01  8.348256e+09 0.000000e+00  9.781796e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  60     -1 2.171758e+13 4.285714e+01  8.256684e+09 0.000000e+00  9.461626e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  61     -1 2.171758e+13 4.357143e+01  8.150461e+09 0.000000e+00  9.136498e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  62     -1 2.171758e+13 4.428571e+01  8.029245e+09 0.000000e+00  8.807537e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  63     -1 2.171758e+13 4.500000e+01  7.892824e+09 0.000000e+00  8.474798e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  64     -1 2.171758e+13 4.571429e+01  7.742077e+09 0.000000e+00  8.139132e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  65     -1 2.171758e+13 4.642857e+01  7.577839e+09 0.000000e+00  7.801189e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  66     -1 2.171758e+13 4.714286e+01  7.401288e+09 0.000000e+00  7.461852e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  67     -1 2.171758e+13 4.785714e+01  7.212038e+09 0.000000e+00  7.121490e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  68     -1 2.171758e+13 4.857143e+01  7.008024e+09 0.000000e+00  6.779777e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  69     -1 2.171758e+13 4.928571e+01  6.787484e+09 0.000000e+00  6.436851e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  70     -1 2.171758e+13 5.000000e+01  6.549646e+09 0.000000e+00  6.093686e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  71     -1 2.171758e+13 5.071429e+01  6.295428e+09 0.000000e+00  5.751140e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  72     -1 2.171758e+13 5.142857e+01  6.029443e+09 0.000000e+00  5.411932e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  73     -1 2.171758e+13 5.214286e+01  5.756414e+09 0.000000e+00  5.078468e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  74     -1 2.171758e+13 5.285714e+01  5.481856e+09 0.000000e+00  4.753377e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  75     -1 2.171758e+13 5.357143e+01  5.205902e+09 0.000000e+00  4.437185e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  76     -1 2.171758e+13 5.428571e+01  4.928034e+09 0.000000e+00  4.130208e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  77     -1 2.171758e+13 5.500000e+01  4.647865e+09 0.000000e+00  3.833215e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  78     -1 2.171758e+13 5.571429e+01  4.367990e+09 0.000000e+00  3.548065e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  79     -1 2.171758e+13 5.642857e+01  4.089636e+09 0.000000e+00  3.275497e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  80     -1 2.171758e+13 5.714286e+01  3.817299e+09 0.000000e+00  3.017874e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  81     -1 2.171758e+13 5.785714e+01  3.555972e+09 0.000000e+00  2.777618e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  82     -1 2.171758e+13 5.857143e+01  3.306579e+09 0.000000e+00  2.554659e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  83     -1 2.171758e+13 5.928571e+01  3.068228e+09 0.000000e+00  2.347998e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  84     -1 2.171758e+13 6.000000e+01  2.839809e+09 0.000000e+00  2.156664e+09 0.000000e+00 0.000000e+00 0.000000e+00
