  i            r          v_r          rho          t_r          t_e
 31 5.986949e+13 2.198064e+09 8.861511e-13 1.536900e+05 1.383210e+05
 32 6.181334e+13 2.177933e+09 8.413705e-13 1.503916e+05 1.353525e+05
 33 6.382029e+13 2.164612e+09 7.982364e-13 1.472682e+05 1.325414e+05
 34 6.589240e+13 2.159527e+09 7.571635e-13 1.442576e+05 1.298318e+05
 35 6.803180e+13 2.155688e+09 7.176547e-13 1.412867e+05 1.271580e+05
 36 7.024065e+13 2.152278e+09 6.805324e-13 1.383918e+05 1.245526e+05
 37 7.252122e+13 2.151793e+09 6.451728e-13 1.356100e+05 1.220490e+05
 38 7.487584e+13 2.156884e+09 6.118972e-13 1.329112e+05 1.196201e+05
 39 7.730691e+13 2.163522e+09 5.804754e-13 1.302478e+05 1.172230e+05
 40 7.981690e+13 2.169350e+09 5.505563e-13 1.276771e+05 1.149094e+05
 41 8.240840e+13 2.174182e+09 5.222192e-13 1.252935e+05 1.127642e+05
 42 8.508403e+13 2.180505e+09 4.947678e-13 1.230307e+05 1.107276e+05
 43 8.784654e+13 2.190025e+09 4.694104e-13 1.207734e+05 1.086961e+05
 44 9.069873e+13 2.202600e+09 4.453946e-13 1.185455e+05 1.066909e+05
 45 9.364354e+13 2.213678e+09 4.217005e-13 1.164597e+05 1.048138e+05
 46 9.668395e+13 2.221103e+09 3.992073e-13 1.145099e+05 1.030589e+05
 47 9.982308e+13 2.229545e+09 3.785152e-13 1.126165e+05 1.013548e+05
 48 1.030641e+14 2.244023e+09 3.601539e-13 1.107433e+05 9.966895e+04
 49 1.064104e+14 2.257551e+09 3.420584e-13 1.089299e+05 9.803691e+04
 50 1.098654e+14 2.263194e+09 3.249048e-13 1.071967e+05 9.647703e+04
 51 1.134325e+14 2.267306e+09 3.085372e-13 1.055224e+05 9.497017e+04
 52 1.171154e+14 2.280097e+09 2.939506e-13 1.038716e+05 9.348445e+04
 53 1.209179e+14 2.294743e+09 2.797992e-13 1.022655e+05 9.203897e+04
 54 1.248438e+14 2.299254e+09 2.662074e-13 1.007169e+05 9.064525e+04
 55 1.288973e+14 2.299389e+09 2.529446e-13 9.922810e+04 8.930529e+04
 56 1.330823e+14 2.305678e+09 2.404338e-13 9.777598e+04 8.799838e+04
 57 1.374032e+14 2.317103e+09 2.281429e-13 9.634470e+04 8.671023e+04
 58 1.418644e+14 2.320387e+09 2.157609e-13 9.493411e+04 8.544070e+04
 59 1.464705e+14 2.317945e+09 2.038760e-13 9.358134e+04 8.422320e+04
 60 1.512261e+14 2.316432e+09 1.924161e-13 9.230656e+04 8.307590e+04
 61 1.561361e+14 2.318150e+09 1.822759e-13 9.105248e+04 8.194723e+04
 62 1.612055e+14 2.314218e+09 1.729765e-13 8.976481e+04 8.078832e+04
 63 1.664395e+14 2.304237e+09 1.643410e-13 8.849965e+04 7.964969e+04
 64 1.718434e+14 2.294707e+09 1.561264e-13 8.732320e+04 7.859088e+04
 65 1.774229e+14 2.287928e+09 1.482664e-13 8.617963e+04 7.756166e+04
 66 1.831834e+14 2.280248e+09 1.413730e-13 8.498971e+04 7.649074e+04
 67 1.891310e+14 2.266854e+09 1.346535e-13 8.378866e+04 7.540979e+04
 68 1.952717e+14 2.252318e+09 1.286195e-13 8.265962e+04 7.439365e+04
 69 2.016118e+14 2.237636e+09 1.226290e-13 8.158141e+04 7.342327e+04
 70 2.081577e+14 2.220583e+09 1.173254e-13 8.049530e+04 7.244577e+04
 71 2.149162e+14 2.196802e+09 1.118560e-13 7.939305e+04 7.145375e+04
 72 2.218941e+14 2.173257e+09 1.072577e-13 7.830688e+04 7.047619e+04
 73 2.290985e+14 2.156379e+09 1.026486e-13 7.723398e+04 6.951058e+04
 74 2.365369e+14 2.138850e+09 9.865584e-14 7.616243e+04 6.854619e+04
 75 2.442167e+14 2.107540e+09 9.460526e-14 7.509861e+04 6.758875e+04
 76 2.521460e+14 2.070746e+09 9.127315e-14 7.406922e+04 6.666230e+04
 77 2.603326e+14 2.044648e+09 8.868464e-14 7.307165e+04 6.576449e+04
 78 2.687851e+14 2.023822e+09 8.597348e-14 7.207236e+04 6.486512e+04
 79 2.775120e+14 1.994861e+09 8.364621e-14 7.103922e+04 6.393529e+04
 80 2.865223e+14 1.957196e+09 8.105901e-14 6.999849e+04 6.299864e+04
 81 2.958250e+14 1.928286e+09 7.984752e-14 6.896904e+04 6.207214e+04
 82 3.054299e+14 1.903837e+09 7.838155e-14 6.793622e+04 6.114260e+04
 83 3.153466e+14 1.875476e+09 7.747833e-14 6.688367e+04 6.019530e+04
 84 3.255852e+14 1.835336e+09 7.647955e-14 6.582623e+04 5.924361e+04
 85 3.361563e+14 1.801793e+09 7.577047e-14 6.477910e+04 5.830119e+04
 86 3.470706e+14 1.780748e+09 7.507483e-14 6.372332e+04 5.735099e+04
 87 3.583393e+14 1.773105e+09 7.417617e-14 6.263281e+04 5.636953e+04
 88 3.699739e+14 1.760772e+09 7.308715e-14 6.149729e+04 5.534756e+04
 89 3.819862e+14 1.745672e+09 6.935770e-14 6.031615e+04 5.428454e+04
 90 3.943885e+14 1.732306e+09 6.458499e-14 5.912372e+04 5.321135e+04
 91 4.071935e+14 1.739374e+09 5.838993e-14 5.795493e+04 5.215943e+04
 92 4.204142e+14 1.757975e+09 5.246002e-14 5.681197e+04 5.113077e+04
 93 4.340642e+14 1.770303e+09 4.771907e-14 5.568802e+04 5.011922e+04
 94 4.481574e+14 1.765018e+09 4.386875e-14 5.456833e+04 4.911150e+04
 95 4.627082e+14 1.766098e+09 4.099717e-14 5.346519e+04 4.811867e+04
 96 4.777314e+14 1.796838e+09 3.888919e-14 5.233586e+04 4.710227e+04
 97 4.932423e+14 1.838586e+09 3.710269e-14 5.121235e+04 4.609112e+04
 98 5.092569e+14 1.856158e+09 3.593285e-14 5.002960e+04 4.502664e+04
 99 5.257914e+14 1.857056e+09 3.340128e-14 4.874166e+04 4.386750e+04
100 5.428628e+14 1.881220e+09 3.025659e-14 4.738858e+04 4.264973e+04
101 5.604885e+14 1.941515e+09 2.689101e-14 4.606990e+04 4.146291e+04
102 5.786864e+14 2.014984e+09 2.398413e-14 4.480005e+04 4.032005e+04
103 5.974752e+14 2.069968e+09 2.170369e-14 4.354221e+04 3.918798e+04
104 6.168740e+14 2.101787e+09 2.009993e-14 4.230769e+04 3.807692e+04
105 6.369026e+14 2.141258e+09 1.799875e-14 4.105938e+04 3.695344e+04
106 6.575815e+14 2.203212e+09 1.567095e-14 3.983135e+04 3.584822e+04
107 6.789319e+14 2.273774e+09 1.351222e-14 3.870301e+04 3.483271e+04
108 7.009754e+14 2.343873e+09 1.184552e-14 3.766923e+04 3.390230e+04
109 7.237347e+14 2.410473e+09 1.043522e-14 3.680172e+04 3.312155e+04
110 7.472329e+14 2.473640e+09 9.082147e-15 3.612436e+04 3.251193e+04
111 7.714940e+14 2.540684e+09 7.858622e-15 3.545593e+04 3.191033e+04
112 7.965428e+14 2.630747e+09 6.758269e-15 3.462357e+04 3.116121e+04
113 8.224050e+14 2.739145e+09 5.857937e-15 3.380257e+04 3.042231e+04
114 8.491068e+14 2.836761e+09 5.153367e-15 3.320438e+04 2.988394e+04
115 8.766756e+14 2.921337e+09 4.551494e-15 3.272005e+04 2.944804e+04
116 9.051394e+14 3.005890e+09 3.927730e-15 3.221645e+04 2.899480e+04
117 9.345275e+14 3.095429e+09 3.375489e-15 3.170966e+04 2.853870e+04
118 9.648697e+14 3.189515e+09 2.944764e-15 3.134693e+04 2.821224e+04
119 9.961970e+14 3.314247e+09 2.621174e-15 3.107659e+04 2.796893e+04
120 1.028542e+15 3.441210e+09 2.311773e-15 3.080012e+04 2.772011e+04
121 1.061936e+15 3.515389e+09 2.017026e-15 3.046686e+04 2.742017e+04
122 1.096415e+15 3.568391e+09 1.744704e-15 3.017092e+04 2.715383e+04
123 1.132013e+15 3.676898e+09 1.521177e-15 2.992134e+04 2.692920e+04
124 1.168768e+15 3.825827e+09 1.339372e-15 2.968551e+04 2.671696e+04
125 1.206715e+15 3.903762e+09 1.171632e-15 2.942768e+04 2.648491e+04
126 1.245895e+15 3.910709e+09 1.029917e-15 2.923348e+04 2.631013e+04
127 1.286346e+15 3.934976e+09 9.006286e-16 2.913775e+04 2.622398e+04
128 1.328111e+15 4.014577e+09 7.985197e-16 2.905108e+04 2.614597e+04
129 1.371233e+15 4.085574e+09 7.034418e-16 2.891321e+04 2.602189e+04
130 1.415754e+15 4.060782e+09 6.224048e-16 2.878920e+04 2.591028e+04
131 1.461720e+15 3.973720e+09 5.393845e-16 2.869938e+04 2.582944e+04
132 1.509179e+15 3.884878e+09 4.718451e-16 2.860438e+04 2.574394e+04
133 1.558179e+15 3.851072e+09 4.197039e-16 2.848146e+04 2.563331e+04
134 1.608770e+15 3.811828e+09 3.748417e-16 2.839279e+04 2.555351e+04
135 1.661004e+15 3.761675e+09 3.324955e-16 2.835812e+04 2.552231e+04
136 1.714933e+15 3.654791e+09 2.934456e-16 2.831789e+04 2.548610e+04
137 1.770614e+15 3.597849e+09 2.669722e-16 2.824453e+04 2.542007e+04
138 1.828102e+15 3.533474e+09 2.456685e-16 2.820146e+04 2.538131e+04
139 1.887457e+15 3.457764e+09 2.301677e-16 2.819583e+04 2.537624e+04
140 1.948739e+15 3.344605e+09 2.180620e-16 2.816633e+04 2.534970e+04
141 2.012010e+15 3.237913e+09 2.087470e-16 2.811597e+04 2.530437e+04
142 2.077336e+15 3.107133e+09 2.051636e-16 2.809293e+04 2.528363e+04
143 2.144783e+15 2.966446e+09 1.991795e-16 2.813359e+04 2.532023e+04
144 2.214420e+15 2.798630e+09 1.940736e-16 2.816740e+04 2.535066e+04
145 2.286317e+15 2.576167e+09 1.888182e-16 2.816757e+04 2.535081e+04
146 2.360549e+15 2.338487e+09 1.797115e-16 2.814361e+04 2.532925e+04
147 2.437192e+15 2.079888e+09 1.710762e-16 2.815626e+04 2.534063e+04
148 2.516322e+15 1.837431e+09 1.603468e-16 2.821292e+04 2.539162e+04
149 2.598022e+15 1.641450e+09 1.491314e-16 2.825986e+04 2.543387e+04
150 2.682375e+15 1.462878e+09 1.387503e-16 2.828553e+04 2.545698e+04
151 2.769466e+15 1.264711e+09 1.247180e-16 2.827543e+04 2.544789e+04
152 2.859385e+15 1.043000e+09 1.111139e-16 2.828019e+04 2.545217e+04
153 2.952223e+15 7.918689e+08 0.000000e+00 0.000000e+00 0.000000e+00
154 3.048076e+15 7.918689e+08 0.000000e+00 0.000000e+00 0.000000e+00
