  i            r          v_r          rho          t_r          t_e
--- ------------ ------------ ------------ ------------ ------------
  0 2.223471e+13 5.653204e+09 0.000000e+00 0.000000e+00 0.000000e+00
  1 2.295662e+13 5.479175e+09 2.877891e-12 2.713442e+05 2.442098e+05
  2 2.370198e+13 5.294822e+09 2.805733e-12 2.671176e+05 2.404058e+05
  3 2.447153e+13 5.104297e+09 2.736075e-12 2.627922e+05 2.365130e+05
  4 2.526607e+13 4.918692e+09 2.669409e-12 2.584575e+05 2.326117e+05
  5 2.608641e+13 4.740489e+09 2.604724e-12 2.542311e+05 2.288080e+05
  6 2.693338e+13 4.567689e+09 2.540841e-12 2.501573e+05 2.251416e+05
  7 2.780786e+13 4.397254e+09 2.478050e-12 2.460415e+05 2.214374e+05
  8 2.871072e+13 4.227598e+09 2.415767e-12 2.417251e+05 2.175526e+05
  9 2.964290e+13 4.057566e+09 2.352047e-12 2.373305e+05 2.135974e+05
 10 3.060534e+13 3.888998e+09 2.285058e-12 2.330279e+05 2.097251e+05
 11 3.159904e+13 3.727164e+09 2.216676e-12 2.288815e+05 2.059934e+05
 12 3.262499e+13 3.579708e+09 2.149336e-12 2.249137e+05 2.024223e+05
 13 3.368426e+13 3.445569e+09 2.081963e-12 2.209662e+05 1.988696e+05
 14 3.477792e+13 3.313443e+09 2.012610e-12 2.168704e+05 1.951833e+05
 15 3.590709e+13 3.179951e+09 1.941154e-12 2.126913e+05 1.914222e+05
 16 3.707292e+13 3.056134e+09 1.867873e-12 2.085617e+05 1.877056e+05
 17 3.827660e+13 2.949073e+09 1.792858e-12 2.045345e+05 1.840810e+05
 18 3.951937e+13 2.849540e+09 1.716051e-12 2.006227e+05 1.805605e+05
 19 4.080248e+13 2.752270e+09 1.639067e-12 1.967935e+05 1.771141e+05
 20 4.212725e+13 2.665503e+09 1.564029e-12 1.929917e+05 1.736925e+05
 21 4.349504e+13 2.596283e+09 1.490677e-12 1.891989e+05 1.702790e+05
 22 4.490723e+13 2.534793e+09 1.417064e-12 1.854340e+05 1.668906e+05
 23 4.636528e+13 2.472497e+09 1.343723e-12 1.817109e+05 1.635398e+05
 24 4.787067e+13 2.415846e+09 1.273755e-12 1.780442e+05 1.602397e+05
 25 4.942493e+13 2.373453e+09 1.207820e-12 1.744220e+05 1.569798e+05
 26 5.102966e+13 2.338641e+09 1.146991e-12 1.708138e+05 1.537324e+05
 27 5.268649e+13 2.300258e+09 1.089399e-12 1.672352e+05 1.505117e+05
 28 5.439711e+13 2.263282e+09 1.034739e-12 1.637592e+05 1.473833e+05
 29 5.616327e+13 2.236630e+09 9.825524e-13 1.604001e+05 1.443601e+05
 30 5.798678e+13 2.217998e+09 9.330010e-13 1.570615e+05 1.413554e+05
