        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.223e+13    0     -1        0  1.43e+10  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.296e+13    1      0        0  1.44e+10  0.00e+00  0.00e+00  5.82e+39  6.22e-13  3.19e+11  1.97e+05  1.97e+05 -4.45e+01  1.23e+02  1.60e+05  1.60e+05  9.17e+00  2.27e+41  2.27e+41  2.27e+41  1.09e+07  2.50e+06  1.04e+07  5.60e-01  0.00e+00  0.00e+00 
2.370e+13    2      0        0  1.45e+10  0.00e+00  0.00e+00  6.41e+39  6.23e-13  3.19e+11  1.88e+05  1.88e+05  2.29e+01  4.65e+01  1.50e+05  1.50e+05  9.79e+00  1.96e+41  1.96e+41  1.96e+41  1.08e+07  2.15e+06  1.03e+07  3.19e-01  0.00e+00  0.00e+00 
2.447e+13    3      0        0  1.45e+10  0.00e+00  0.00e+00  7.06e+39  6.23e-13  3.19e+11  1.82e+05  1.82e+05  5.29e+01  9.39e+01  1.44e+05  1.44e+05  9.99e+00  1.83e+41  1.83e+41  1.83e+41  1.08e+07  1.92e+06  1.03e+07  5.22e-01  0.00e+00  0.00e+00 
2.527e+13    4      0        0  1.45e+10  0.00e+00  0.00e+00  7.77e+39  6.21e-13  3.18e+11  1.77e+05  1.77e+05 -4.27e+01  1.93e+02  1.40e+05  1.40e+05  1.00e+01  1.74e+41  1.74e+41  1.74e+41  1.08e+07  1.75e+06  1.03e+07  4.31e-01  0.00e+00  0.00e+00 
2.609e+13    5      0        0  1.46e+10  0.00e+00  0.00e+00  8.56e+39  6.19e-13  3.17e+11  1.73e+05  1.73e+05  5.30e+00  8.95e+01  1.37e+05  1.37e+05  1.00e+01  1.69e+41  1.69e+41  1.69e+41  1.08e+07  1.61e+06  1.02e+07  7.45e-01  0.00e+00  0.00e+00 
2.693e+13    6      0        0  1.46e+10  0.00e+00  0.00e+00  9.42e+39  6.17e-13  3.16e+11  1.69e+05  1.69e+05  4.70e+01  3.79e+01  1.34e+05  1.34e+05  9.94e+00  1.65e+41  1.65e+41  1.65e+41  1.09e+07  1.49e+06  1.02e+07  5.52e-01  0.00e+00  0.00e+00 
2.781e+13    7      0        0  1.45e+10  0.00e+00  0.00e+00  1.04e+40  6.14e-13  3.14e+11  1.66e+05  1.66e+05 -9.26e+00  1.17e+02  1.31e+05  1.31e+05  9.83e+00  1.63e+41  1.63e+41  1.63e+41  1.09e+07  1.39e+06  1.02e+07  3.19e-01  0.00e+00  0.00e+00 
2.871e+13    8      0        0  1.45e+10  0.00e+00  0.00e+00  1.14e+40  6.10e-13  3.13e+11  1.63e+05  1.63e+05 -8.41e+00  8.76e+01  1.29e+05  1.29e+05  9.70e+00  1.62e+41  1.62e+41  1.62e+41  1.09e+07  1.30e+06  1.02e+07  5.60e-01  0.00e+00  0.00e+00 
2.964e+13    9      0        0  1.45e+10  0.00e+00  0.00e+00  1.25e+40  6.06e-13  3.10e+11  1.61e+05  1.61e+05 -4.46e+01  7.74e+01  1.27e+05  1.27e+05  9.55e+00  1.61e+41  1.61e+41  1.61e+41  1.10e+07  1.22e+06  1.02e+07  3.19e-01  0.00e+00  0.00e+00 
3.061e+13   10      0        0  1.44e+10  0.00e+00  0.00e+00  1.38e+40  6.01e-13  3.08e+11  1.58e+05  1.58e+05 -2.52e+01  7.18e+01  1.25e+05  1.25e+05  9.39e+00  1.61e+41  1.61e+41  1.61e+41  1.10e+07  1.15e+06  1.02e+07  3.32e-01  0.00e+00  0.00e+00 
3.160e+13   11      0        0  1.43e+10  0.00e+00  0.00e+00  1.51e+40  5.96e-13  3.05e+11  1.56e+05  1.56e+05  5.47e+00  6.28e+01  1.24e+05  1.24e+05  9.21e+00  1.62e+41  1.62e+41  1.62e+41  1.11e+07  1.09e+06  1.03e+07  3.51e-01  0.00e+00  0.00e+00 
3.262e+13   12      0        0  1.42e+10  0.00e+00  0.00e+00  1.66e+40  5.90e-13  3.02e+11  1.54e+05  1.55e+05 -2.78e+01  1.53e+02  1.22e+05  1.22e+05  9.04e+00  1.63e+41  1.63e+41  1.63e+41  1.11e+07  1.04e+06  1.03e+07  4.74e-01  0.00e+00  0.00e+00 
3.368e+13   13      0        0  1.41e+10  0.00e+00  0.00e+00  1.82e+40  5.84e-13  2.99e+11  1.53e+05  1.53e+05 -2.59e+01  2.44e+02  1.21e+05  1.21e+05  8.85e+00  1.64e+41  1.64e+41  1.64e+41  1.12e+07  9.94e+05  1.03e+07  3.51e-01  0.00e+00  0.00e+00 
3.478e+13   14      0        0  1.40e+10  0.00e+00  0.00e+00  2.00e+40  5.77e-13  2.95e+11  1.51e+05  1.51e+05 -5.94e+01  2.90e+02  1.20e+05  1.20e+05  8.67e+00  1.67e+41  1.67e+41  1.67e+41  1.13e+07  9.52e+05  1.04e+07  3.65e-01  0.00e+00  0.00e+00 
3.591e+13   15      0        0  1.38e+10  0.00e+00  0.00e+00  2.19e+40  5.70e-13  2.92e+11  1.50e+05  1.50e+05 -4.06e+01  2.06e+02  1.19e+05  1.19e+05  8.47e+00  1.69e+41  1.69e+41  1.69e+41  1.14e+07  9.15e+05  1.05e+07  3.32e-01  0.00e+00  0.00e+00 
