        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
3.952e+13   18      0        0  2.85e+09  0.00e+00  0.00e+00  2.61e+40  1.71e-12  8.75e+11  2.24e+05  2.24e+05  2.01e+02 -4.01e+01  1.55e+05  1.56e+05  1.01e+01  3.11e+42  3.11e+42  3.12e+42  2.41e+07  9.02e+05  2.31e+07  4.74e-01  0.00e+00  0.00e+00 
4.080e+13   19      0        0  2.75e+09  0.00e+00  0.00e+00  2.87e+40  1.63e-12  8.36e+11  2.20e+05  2.20e+05  1.38e+02 -7.10e+01  1.54e+05  1.54e+05  9.87e+00  3.04e+42  3.04e+42  3.04e+42  2.44e+07  8.94e+05  2.34e+07  4.74e-01  0.00e+00  0.00e+00 
4.213e+13   20      0        0  2.67e+09  0.00e+00  0.00e+00  3.16e+40  1.56e-12  7.98e+11  2.17e+05  2.17e+05  1.01e+02 -1.74e+01  1.53e+05  1.53e+05  9.60e+00  2.94e+42  2.94e+42  2.94e+42  2.46e+07  8.84e+05  2.36e+07  3.65e-01  0.00e+00  0.00e+00 
4.350e+13   21      0        0  2.60e+09  0.00e+00  0.00e+00  3.48e+40  1.49e-12  7.61e+11  2.13e+05  2.13e+05  9.35e+01 -8.41e+01  1.51e+05  1.51e+05  9.33e+00  2.84e+42  2.84e+42  2.84e+42  2.48e+07  8.74e+05  2.37e+07  3.51e-01  0.00e+00  0.00e+00 
4.491e+13   22      0        0  2.53e+09  0.00e+00  0.00e+00  3.83e+40  1.41e-12  7.23e+11  2.09e+05  2.09e+05  7.40e+01 -7.06e+01  1.50e+05  1.50e+05  9.06e+00  2.73e+42  2.73e+42  2.73e+42  2.50e+07  8.64e+05  2.38e+07  4.74e-01  0.00e+00  0.00e+00 
4.637e+13   23      0        0  2.47e+09  0.00e+00  0.00e+00  4.21e+40  1.34e-12  6.86e+11  2.06e+05  2.06e+05  1.00e+02 -7.82e+01  1.48e+05  1.48e+05  8.77e+00  2.61e+42  2.61e+42  2.61e+42  2.51e+07  8.55e+05  2.39e+07  4.74e-01  0.00e+00  0.00e+00 
4.787e+13   24      0        0  2.42e+09  0.00e+00  0.00e+00  4.64e+40  1.27e-12  6.50e+11  2.02e+05  2.02e+05  2.51e+01 -5.80e+01  1.47e+05  1.47e+05  8.48e+00  2.49e+42  2.49e+42  2.49e+42  2.51e+07  8.43e+05  2.39e+07  2.11e-01  0.00e+00  0.00e+00 
4.942e+13   25      0        0  2.37e+09  0.00e+00  0.00e+00  5.10e+40  1.20e-12  6.17e+11  1.98e+05  1.98e+05 -9.74e+00 -5.43e+01  1.45e+05  1.45e+05  8.20e+00  2.37e+42  2.37e+42  2.37e+42  2.51e+07  8.31e+05  2.38e+07  8.00e-01  0.00e+00  0.00e+00 
5.103e+13   26      0        0  2.34e+09  0.00e+00  0.00e+00  5.62e+40  1.14e-12  5.86e+11  1.95e+05  1.95e+05 -2.08e+01 -3.82e+01  1.44e+05  1.44e+05  7.93e+00  2.25e+42  2.25e+42  2.25e+42  2.51e+07  8.17e+05  2.38e+07  3.51e-01  0.00e+00  0.00e+00 
5.269e+13   27      0        0  2.30e+09  0.00e+00  0.00e+00  6.18e+40  1.09e-12  5.56e+11  1.91e+05  1.91e+05  3.09e+01 -4.14e+01  1.42e+05  1.42e+05  7.65e+00  2.14e+42  2.14e+42  2.14e+42  2.51e+07  8.02e+05  2.37e+07  5.52e-01  0.00e+00  0.00e+00 
5.440e+13   28      0        0  2.26e+09  0.00e+00  0.00e+00  6.80e+40  1.03e-12  5.28e+11  1.88e+05  1.88e+05 -1.22e+01 -2.53e+01  1.41e+05  1.41e+05  7.38e+00  2.03e+42  2.03e+42  2.03e+42  2.50e+07  7.85e+05  2.36e+07  3.51e-01  0.00e+00  0.00e+00 
5.616e+13   29      0        0  2.24e+09  0.00e+00  0.00e+00  7.49e+40  9.80e-13  5.02e+11  1.84e+05  1.84e+05 -3.48e+00 -5.40e+01  1.39e+05  1.39e+05  7.11e+00  1.92e+42  1.92e+42  1.92e+42  2.49e+07  7.68e+05  2.34e+07  3.51e-01  0.00e+00  0.00e+00 
5.799e+13   30      0        0  2.22e+09  0.00e+00  0.00e+00  8.24e+40  9.30e-13  4.76e+11  1.81e+05  1.81e+05  3.00e+01 -1.42e+02  1.38e+05  1.38e+05  6.85e+00  1.82e+42  1.82e+42  1.82e+42  2.48e+07  7.51e+05  2.32e+07  5.52e-01  0.00e+00  0.00e+00 
5.987e+13   31      0        0  2.20e+09  0.00e+00  0.00e+00  9.07e+40  8.84e-13  4.53e+11  1.77e+05  1.77e+05  5.09e+01 -6.92e+01  1.36e+05  1.36e+05  6.59e+00  1.72e+42  1.72e+42  1.72e+42  2.46e+07  7.33e+05  2.30e+07  3.51e-01  0.00e+00  0.00e+00 
6.181e+13   32      0        0  2.18e+09  0.00e+00  0.00e+00  9.98e+40  8.39e-13  4.30e+11  1.74e+05  1.74e+05  2.82e+01 -3.90e+01  1.35e+05  1.35e+05  6.33e+00  1.62e+42  1.62e+42  1.62e+42  2.45e+07  7.15e+05  2.28e+07  3.51e-01  0.00e+00  0.00e+00 
