        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip        xi      ntot      nrad    nioniz 
2.223e+13 2.260e+13    0     -1        0  5.65e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.296e+13 2.333e+13    1      0        0  5.48e+09  0.00e+00  0.00e+00  5.18e+39  2.83e-12  1.45e+12  2.64e+05  1.77e+05  4.44e-11  9.20e-11  0.00e+00  0.00e+00  5.46e-08 -6.13e+33  4.31e+32 -3.25e+33  9.88e+05  2.71e+07  1.48e+07  0.00e+00  1.44e+07 
2.370e+13 2.409e+13    2      0        0  5.29e+09  0.00e+00  0.00e+00  5.70e+39  2.76e-12  1.42e+12  2.62e+05  1.74e+05  3.37e-11  8.32e-11  0.00e+00  0.00e+00  6.17e-08 -6.53e+33 -5.31e+32 -3.84e+33  9.83e+05  2.66e+07  1.53e+07  0.00e+00  1.49e+07 
2.447e+13 2.487e+13    3      0        0  5.10e+09  0.00e+00  0.00e+00  6.26e+39  2.70e-12  1.38e+12  2.60e+05  1.72e+05  4.20e-11  7.48e-11  0.00e+00  0.00e+00  6.61e-08 -6.49e+33 -1.76e+32 -4.37e+33  9.78e+05  2.60e+07  1.58e+07  0.00e+00  1.53e+07 
2.527e+13 2.568e+13    4      0        0  4.92e+09  0.00e+00  0.00e+00  6.89e+39  2.63e-12  1.35e+12  2.58e+05  1.71e+05  4.55e-11  8.25e-11  0.00e+00  0.00e+00  7.01e-08 -6.30e+33 -3.17e+32 -3.69e+33  9.71e+05  2.59e+07  1.63e+07  0.00e+00  1.58e+07 
2.609e+13 2.651e+13    5      0        0  4.74e+09  0.00e+00  0.00e+00  7.57e+39  2.57e-12  1.32e+12  2.56e+05  1.70e+05  4.55e-11  5.30e-11  0.00e+00  0.00e+00  7.40e-08 -8.70e+33  1.17e+32 -5.38e+33  9.66e+05  2.54e+07  1.69e+07  0.00e+00  1.64e+07 
2.693e+13 2.737e+13    6      0        0  4.57e+09  0.00e+00  0.00e+00  8.33e+39  2.51e-12  1.29e+12  2.54e+05  1.68e+05  4.22e-11  7.04e-11  0.00e+00  0.00e+00  7.77e-08 -6.85e+33 -2.21e+32 -4.17e+33  9.62e+05  2.51e+07  1.74e+07  0.00e+00  1.69e+07 
2.781e+13 2.826e+13    7      0        0  4.40e+09  0.00e+00  0.00e+00  9.16e+39  2.45e-12  1.26e+12  2.52e+05  1.68e+05  4.23e-11  8.75e-11  0.00e+00  0.00e+00  8.11e-08 -8.17e+33  4.77e+31 -5.51e+33  9.57e+05  2.53e+07  1.80e+07  0.00e+00  1.75e+07 
2.871e+13 2.918e+13    8      0        0  4.23e+09  0.00e+00  0.00e+00  1.01e+40  2.39e-12  1.23e+12  2.50e+05  1.67e+05  4.56e-11  7.08e-11  0.00e+00  0.00e+00  8.45e-08 -7.42e+33  1.61e+32 -4.66e+33  9.54e+05  2.49e+07  1.87e+07  0.00e+00  1.81e+07 
2.964e+13 3.012e+13    9      0        0  4.06e+09  0.00e+00  0.00e+00  1.11e+40  2.33e-12  1.19e+12  2.48e+05  1.66e+05  4.64e-11  7.13e-11  0.00e+00  0.00e+00  8.81e-08 -8.38e+33 -1.98e+32 -3.82e+33  9.50e+05  2.50e+07  1.93e+07  0.00e+00  1.87e+07 
3.061e+13 3.110e+13   10      0        0  3.89e+09  0.00e+00  0.00e+00  1.22e+40  2.27e-12  1.16e+12  2.46e+05  1.65e+05  4.55e-11  7.85e-11  0.00e+00  0.00e+00  9.23e-08 -8.02e+33  7.06e+32 -6.06e+33  9.47e+05  2.48e+07  1.99e+07  0.00e+00  1.93e+07 
3.160e+13 3.211e+13   11      0        0  3.73e+09  0.00e+00  0.00e+00  1.34e+40  2.20e-12  1.13e+12  2.44e+05  1.64e+05  4.52e-11  7.58e-11  0.00e+00  0.00e+00  9.68e-08 -9.16e+33 -2.74e+32 -5.34e+33  9.44e+05  2.44e+07  2.06e+07  0.00e+00  1.99e+07 
3.262e+13 3.315e+13   12      0        0  3.58e+09  0.00e+00  0.00e+00  1.47e+40  2.13e-12  1.09e+12  2.41e+05  1.63e+05  4.58e-11  7.91e-11  0.00e+00  0.00e+00  1.02e-07 -8.93e+33 -6.02e+32 -6.80e+33  9.39e+05  2.40e+07  2.12e+07  0.00e+00  2.05e+07 
