        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip        xi      ntot      nrad    nioniz 
3.368e+13 3.423e+13   13      0        0  3.45e+09  0.00e+00  0.00e+00  1.62e+40  2.07e-12  1.06e+12  2.39e+05  1.61e+05  5.21e-11  9.29e-11  0.00e+00  0.00e+00  1.08e-07 -1.10e+34 -3.77e+32 -7.18e+33  9.33e+05  2.40e+07  2.18e+07  0.00e+00  2.10e+07 
3.478e+13 3.534e+13   14      0        0  3.31e+09  0.00e+00  0.00e+00  1.78e+40  2.00e-12  1.02e+12  2.36e+05  1.60e+05  4.70e-11  8.10e-11  0.00e+00  0.00e+00  1.14e-07 -1.11e+34 -3.61e+32 -7.23e+33  9.28e+05  2.37e+07  2.23e+07  0.00e+00  2.15e+07 
3.591e+13 3.649e+13   15      0        0  3.18e+09  0.00e+00  0.00e+00  1.96e+40  1.93e-12  9.89e+11  2.33e+05  1.59e+05  5.13e-11  8.64e-11  0.00e+00  0.00e+00  1.22e-07 -1.16e+34  5.94e+32 -7.09e+33  9.22e+05  2.31e+07  2.28e+07  0.00e+00  2.20e+07 
3.707e+13 3.767e+13   16      0        0  3.06e+09  0.00e+00  0.00e+00  2.16e+40  1.86e-12  9.52e+11  2.30e+05  1.58e+05  4.41e-11  1.02e-10  0.00e+00  0.00e+00  1.30e-07 -1.17e+34  4.08e+32 -7.86e+33  9.16e+05  2.29e+07  2.33e+07  0.00e+00  2.24e+07 
3.828e+13 3.890e+13   17      0        0  2.95e+09  0.00e+00  0.00e+00  2.37e+40  1.78e-12  9.14e+11  2.27e+05  1.57e+05  4.72e-11  9.50e-11  0.00e+00  0.00e+00  1.39e-07 -1.36e+34 -4.45e+32 -8.90e+33  9.09e+05  2.25e+07  2.37e+07  0.00e+00  2.28e+07 
3.952e+13 4.016e+13   18      0        0  2.85e+09  0.00e+00  0.00e+00  2.61e+40  1.71e-12  8.75e+11  2.24e+05  1.55e+05  4.77e-11  9.24e-11  0.00e+00  0.00e+00  1.49e-07 -1.45e+34 -3.46e+32 -9.07e+33  9.02e+05  2.22e+07  2.41e+07  0.00e+00  2.31e+07 
4.080e+13 4.146e+13   19      0        0  2.75e+09  0.00e+00  0.00e+00  2.87e+40  1.63e-12  8.36e+11  2.20e+05  1.54e+05  4.44e-11  7.43e-11  0.00e+00  0.00e+00  1.60e-07 -1.57e+34 -2.14e+32 -1.00e+34  8.94e+05  2.19e+07  2.44e+07  0.00e+00  2.34e+07 
4.213e+13 4.281e+13   20      0        0  2.67e+09  0.00e+00  0.00e+00  3.16e+40  1.56e-12  7.98e+11  2.17e+05  1.53e+05  3.51e-11  7.92e-11  0.00e+00  0.00e+00  1.74e-07 -1.65e+34  4.77e+32 -1.01e+34  8.84e+05  2.15e+07  2.46e+07  0.00e+00  2.36e+07 
4.350e+13 4.420e+13   21      0        0  2.60e+09  0.00e+00  0.00e+00  3.48e+40  1.49e-12  7.61e+11  2.13e+05  1.51e+05  3.45e-11  7.49e-11  0.00e+00  0.00e+00  1.89e-07 -1.58e+34  2.45e+32 -1.09e+34  8.74e+05  2.11e+07  2.48e+07  0.00e+00  2.37e+07 
4.491e+13 4.564e+13   22      0        0  2.53e+09  0.00e+00  0.00e+00  3.83e+40  1.41e-12  7.23e+11  2.09e+05  1.50e+05  5.03e-11  9.69e-11  0.00e+00  0.00e+00  2.06e-07 -1.72e+34 -4.32e+32 -9.61e+33  8.64e+05  2.08e+07  2.50e+07  0.00e+00  2.38e+07 
4.637e+13 4.712e+13   23      0        0  2.47e+09  0.00e+00  0.00e+00  4.21e+40  1.34e-12  6.86e+11  2.06e+05  1.48e+05  5.21e-11  9.86e-11  0.00e+00  0.00e+00  2.25e-07 -1.67e+34  2.11e+32 -1.02e+34  8.55e+05  2.02e+07  2.51e+07  0.00e+00  2.39e+07 
4.787e+13 4.865e+13   24      0        0  2.42e+09  0.00e+00  0.00e+00  4.64e+40  1.27e-12  6.50e+11  2.02e+05  1.47e+05  4.18e-11  1.01e-10  0.00e+00  0.00e+00  2.46e-07 -1.74e+34  9.22e+31 -1.09e+34  8.43e+05  1.99e+07  2.51e+07  0.00e+00  2.39e+07 
4.942e+13 5.023e+13   25      0        0  2.37e+09  0.00e+00  0.00e+00  5.10e+40  1.20e-12  6.17e+11  1.98e+05  1.45e+05  5.42e-11  9.62e-11  0.00e+00  0.00e+00  2.69e-07 -1.78e+34  1.89e+32 -1.18e+34  8.31e+05  1.94e+07  2.51e+07  0.00e+00  2.38e+07 
5.103e+13 5.186e+13   26      0        0  2.34e+09  0.00e+00  0.00e+00  5.62e+40  1.14e-12  5.86e+11  1.95e+05  1.44e+05  5.24e-11  1.01e-10  0.00e+00  0.00e+00  2.98e-07 -1.80e+34  1.30e+32 -1.16e+34  8.17e+05  1.88e+07  2.51e+07  0.00e+00  2.38e+07 
5.269e+13 5.354e+13   27      0        0  2.30e+09  0.00e+00  0.00e+00  6.18e+40  1.09e-12  5.56e+11  1.91e+05  1.42e+05  5.26e-11  8.14e-11  0.00e+00  0.00e+00  3.30e-07 -1.82e+34  8.63e+32 -1.14e+34  8.02e+05  1.85e+07  2.51e+07  0.00e+00  2.37e+07 
5.440e+13 5.528e+13   28      0        0  2.26e+09  0.00e+00  0.00e+00  6.80e+40  1.03e-12  5.28e+11  1.88e+05  1.41e+05  5.48e-11  9.88e-11  0.00e+00  0.00e+00  3.66e-07 -1.80e+34  1.22e+32 -1.15e+34  7.85e+05  1.79e+07  2.50e+07  0.00e+00  2.36e+07 
5.616e+13 5.708e+13   29      0        0  2.24e+09  0.00e+00  0.00e+00  7.49e+40  9.80e-13  5.02e+11  1.84e+05  1.39e+05  5.76e-11  9.75e-11  0.00e+00  0.00e+00  4.07e-07 -1.72e+34 -2.74e+32 -1.10e+34  7.68e+05  1.73e+07  2.49e+07  0.00e+00  2.34e+07 
5.799e+13 5.893e+13   30      0        0  2.22e+09  0.00e+00  0.00e+00  8.24e+40  9.30e-13  4.76e+11  1.81e+05  1.38e+05  5.51e-11  9.02e-11  0.00e+00  0.00e+00  4.52e-07 -1.75e+34 -5.11e+32 -1.10e+34  7.51e+05  1.68e+07  2.48e+07  0.00e+00  2.32e+07 
5.987e+13 6.084e+13   31      0        0  2.20e+09  0.00e+00  0.00e+00  9.07e+40  8.84e-13  4.53e+11  1.77e+05  1.36e+05  4.42e-11  8.55e-11  0.00e+00  0.00e+00  5.07e-07 -1.78e+34  2.69e+32 -1.10e+34  7.33e+05  1.62e+07  2.46e+07  0.00e+00  2.30e+07 
6.181e+13 6.282e+13   32      0        0  2.18e+09  0.00e+00  0.00e+00  9.98e+40  8.39e-13  4.30e+11  1.74e+05  1.35e+05  5.16e-11  8.17e-11  0.00e+00  0.00e+00  5.70e-07 -1.80e+34 -7.60e+32 -1.16e+34  7.15e+05  1.57e+07  2.45e+07  0.00e+00  2.28e+07 
6.382e+13 6.486e+13   33      0        0  2.16e+09  0.00e+00  0.00e+00  1.10e+41  7.96e-13  4.08e+11  1.70e+05  1.33e+05  5.32e-11  8.93e-11  0.00e+00  0.00e+00  6.38e-07 -1.71e+34  2.30e+32 -1.08e+34  6.96e+05  1.51e+07  2.43e+07  0.00e+00  2.26e+07 
6.589e+13 6.696e+13   34      0        0  2.16e+09  0.00e+00  0.00e+00  1.21e+41  7.55e-13  3.87e+11  1.67e+05  1.32e+05  4.63e-11  1.19e-10  0.00e+00  0.00e+00  7.13e-07 -1.62e+34  1.31e+31 -1.04e+34  6.78e+05  1.46e+07  2.40e+07  0.00e+00  2.23e+07 
6.803e+13 6.914e+13   35      0        0  2.16e+09  0.00e+00  0.00e+00  1.33e+41  7.16e-13  3.67e+11  1.64e+05  1.31e+05  5.30e-11  9.16e-11  0.00e+00  0.00e+00  8.00e-07 -1.69e+34 -2.96e+32 -1.07e+34  6.61e+05  1.43e+07  2.38e+07  0.00e+00  2.20e+07 
7.024e+13 7.138e+13   36      0        0  2.15e+09  0.00e+00  0.00e+00  1.46e+41  6.79e-13  3.48e+11  1.61e+05  1.29e+05  5.89e-11  9.57e-11  0.00e+00  0.00e+00  9.02e-07 -1.64e+34  1.13e+32 -9.62e+33  6.43e+05  1.37e+07  2.36e+07  0.00e+00  2.18e+07 
7.252e+13 7.370e+13   37      0        0  2.15e+09  0.00e+00  0.00e+00  1.61e+41  6.44e-13  3.30e+11  1.58e+05  1.28e+05  5.82e-11  1.27e-10  0.00e+00  0.00e+00  1.01e-06 -1.62e+34  6.49e+32 -1.02e+34  6.26e+05  1.32e+07  2.34e+07  0.00e+00  2.15e+07 
7.488e+13 7.609e+13   38      0        0  2.16e+09  0.00e+00  0.00e+00  1.77e+41  6.10e-13  3.13e+11  1.55e+05  1.26e+05  5.70e-11  1.01e-10  0.00e+00  0.00e+00  1.14e-06 -1.48e+34 -6.46e+32 -9.97e+33  6.08e+05  1.28e+07  2.31e+07  0.00e+00  2.12e+07 
7.731e+13 7.856e+13   39      0        0  2.16e+09  0.00e+00  0.00e+00  1.95e+41  5.79e-13  2.96e+11  1.52e+05  1.25e+05  5.87e-11  1.12e-10  0.00e+00  0.00e+00  1.27e-06 -1.52e+34  1.34e+32 -1.02e+34  5.91e+05  1.22e+07  2.29e+07  0.00e+00  2.09e+07 
7.982e+13 8.111e+13   40      0        0  2.17e+09  0.00e+00  0.00e+00  2.15e+41  5.49e-13  2.81e+11  1.50e+05  1.24e+05  6.11e-11  1.15e-10  0.00e+00  0.00e+00  1.43e-06 -1.48e+34  8.03e+31 -9.02e+33  5.75e+05  1.18e+07  2.27e+07  0.00e+00  2.06e+07 
8.241e+13 8.375e+13   41      0        0  2.17e+09  0.00e+00  0.00e+00  2.36e+41  5.21e-13  2.67e+11  1.47e+05  1.22e+05  5.95e-11  1.41e-10  0.00e+00  0.00e+00  1.60e-06 -1.43e+34 -6.80e+32 -9.81e+33  5.58e+05  1.13e+07  2.24e+07  0.00e+00  2.04e+07 
8.508e+13 8.647e+13   42      0        0  2.18e+09  0.00e+00  0.00e+00  2.60e+41  4.93e-13  2.53e+11  1.44e+05  1.21e+05  5.47e-11  1.01e-10  0.00e+00  0.00e+00  1.81e-06 -1.38e+34  3.37e+32 -8.50e+33  5.43e+05  1.09e+07  2.22e+07  0.00e+00  2.01e+07 
8.785e+13 8.927e+13   43      0        0  2.19e+09  0.00e+00  0.00e+00  2.86e+41  4.68e-13  2.40e+11  1.42e+05  1.20e+05  5.10e-11  1.52e-10  0.00e+00  0.00e+00  2.03e-06 -1.38e+34 -4.32e+32 -8.31e+33  5.27e+05  1.07e+07  2.20e+07  0.00e+00  1.98e+07 
9.070e+13 9.217e+13   44      0        0  2.20e+09  0.00e+00  0.00e+00  3.15e+41  4.44e-13  2.27e+11  1.39e+05  1.18e+05  6.32e-11  1.08e-10  0.00e+00  0.00e+00  2.28e-06 -1.36e+34  6.39e+31 -8.76e+33  5.12e+05  1.03e+07  2.18e+07  0.00e+00  1.95e+07 
9.364e+13 9.516e+13   45      0        0  2.21e+09  0.00e+00  0.00e+00  3.47e+41  4.21e-13  2.15e+11  1.37e+05  1.17e+05  5.91e-11  1.58e-10  0.00e+00  0.00e+00  2.55e-06 -1.39e+34  2.37e+32 -8.71e+33  4.99e+05  9.94e+06  2.16e+07  0.00e+00  1.93e+07 
9.668e+13 9.825e+13   46      0        0  2.22e+09  0.00e+00  0.00e+00  3.82e+41  3.98e-13  2.04e+11  1.35e+05  1.16e+05  5.42e-11  1.16e-10  0.00e+00  0.00e+00  2.87e-06 -1.28e+34 -3.49e+32 -8.20e+33  4.86e+05  9.60e+06  2.14e+07  0.00e+00  1.90e+07 
9.982e+13 1.014e+14   47      0        0  2.23e+09  0.00e+00  0.00e+00  4.20e+41  3.77e-13  1.93e+11  1.32e+05  1.15e+05  6.65e-11  1.35e-10  0.00e+00  0.00e+00  3.25e-06 -1.17e+34  2.19e+32 -7.66e+33  4.72e+05  9.16e+06  2.12e+07  0.00e+00  1.88e+07 
1.031e+14 1.047e+14   48      0        0  2.24e+09  0.00e+00  0.00e+00  4.63e+41  3.59e-13  1.84e+11  1.30e+05  1.13e+05  4.28e-11  1.42e-10  0.00e+00  0.00e+00  3.61e-06 -1.24e+34 -1.18e+32 -8.01e+33  4.58e+05  8.83e+06  2.10e+07  0.00e+00  1.85e+07 
1.064e+14 1.081e+14   49      0        0  2.26e+09  0.00e+00  0.00e+00  5.09e+41  3.41e-13  1.75e+11  1.28e+05  1.12e+05  4.22e-11  1.78e-10  0.00e+00  0.00e+00  4.07e-06 -1.17e+34 -5.87e+32 -7.50e+33  4.45e+05  8.54e+06  2.08e+07  0.00e+00  1.83e+07 
1.099e+14 1.116e+14   50      0        0  2.26e+09  0.00e+00  0.00e+00  5.60e+41  3.24e-13  1.66e+11  1.26e+05  1.11e+05  6.94e-11  1.50e-10  0.00e+00  0.00e+00  4.59e-06 -1.20e+34 -5.32e+32 -7.21e+33  4.32e+05  8.23e+06  2.06e+07  0.00e+00  1.81e+07 
1.134e+14 1.153e+14   51      0        0  2.27e+09  0.00e+00  0.00e+00  6.17e+41  3.08e-13  1.58e+11  1.24e+05  1.10e+05  5.69e-11  1.82e-10  0.00e+00  0.00e+00  5.13e-06 -1.12e+34  3.74e+32 -7.39e+33  4.20e+05  8.07e+06  2.05e+07  0.00e+00  1.79e+07 
1.171e+14 1.190e+14   52      0        0  2.28e+09  0.00e+00  0.00e+00  6.79e+41  2.93e-13  1.50e+11  1.22e+05  1.09e+05  5.32e-11  1.64e-10  0.00e+00  0.00e+00  5.84e-06 -1.12e+34 -2.57e+32 -7.48e+33  4.07e+05  7.78e+06  2.03e+07  0.00e+00  1.76e+07 
1.209e+14 1.229e+14   53      0        0  2.29e+09  0.00e+00  0.00e+00  7.47e+41  2.79e-13  1.43e+11  1.20e+05  1.08e+05  4.99e-11  2.13e-10  0.00e+00  0.00e+00  6.47e-06 -1.07e+34  1.34e+32 -6.55e+33  3.95e+05  7.32e+06  2.01e+07  0.00e+00  1.74e+07 
1.248e+14 1.269e+14   54      0        0  2.30e+09  0.00e+00  0.00e+00  8.22e+41  2.65e-13  1.36e+11  1.18e+05  1.07e+05  5.69e-11  2.01e-10  0.00e+00  0.00e+00  7.08e-06 -1.07e+34 -1.26e+32 -6.38e+33  3.83e+05  7.07e+06  2.00e+07  0.00e+00  1.72e+07 
1.289e+14 1.310e+14   55      0        0  2.30e+09  0.00e+00  0.00e+00  9.05e+41  2.52e-13  1.29e+11  1.17e+05  1.06e+05  5.90e-11  2.24e-10  0.00e+00  0.00e+00  7.98e-06 -1.08e+34 -1.44e+32 -6.49e+33  3.72e+05  6.91e+06  1.98e+07  0.00e+00  1.70e+07 
1.331e+14 1.352e+14   56      0        0  2.31e+09  0.00e+00  0.00e+00  9.96e+41  2.40e-13  1.23e+11  1.15e+05  1.05e+05  6.49e-11  2.40e-10  0.00e+00  0.00e+00  8.80e-06 -1.02e+34  3.25e+31 -7.49e+33  3.61e+05  6.63e+06  1.97e+07  0.00e+00  1.68e+07 
1.374e+14 1.396e+14   57      0        0  2.32e+09  0.00e+00  0.00e+00  1.10e+42  2.27e-13  1.16e+11  1.13e+05  1.04e+05  5.59e-11  2.51e-10  0.00e+00  0.00e+00  9.67e-06 -9.77e+33  8.88e+31 -6.45e+33  3.52e+05  6.35e+06  1.95e+07  0.00e+00  1.66e+07 
1.419e+14 1.442e+14   58      0        0  2.32e+09  0.00e+00  0.00e+00  1.21e+42  2.15e-13  1.10e+11  1.12e+05  1.03e+05  5.97e-11  2.77e-10  0.00e+00  0.00e+00  1.07e-05 -9.46e+33 -3.67e+31 -5.81e+33  3.44e+05  6.19e+06  1.94e+07  0.00e+00  1.65e+07 
1.465e+14 1.488e+14   59      0        0  2.32e+09  0.00e+00  0.00e+00  1.33e+42  2.03e-13  1.04e+11  1.10e+05  1.02e+05  7.26e-11  2.72e-10  0.00e+00  0.00e+00  1.18e-05 -8.95e+33  2.85e+31 -5.58e+33  3.37e+05  6.08e+06  1.93e+07  0.00e+00  1.63e+07 
1.512e+14 1.537e+14   60      0        0  2.32e+09  0.00e+00  0.00e+00  1.46e+42  1.92e-13  9.82e+10  1.08e+05  1.01e+05  6.39e-11  2.91e-10  0.00e+00  0.00e+00  1.32e-05 -8.92e+33 -2.08e+32 -5.76e+33  3.31e+05  5.93e+06  1.92e+07  0.00e+00  1.62e+07 
1.561e+14 1.587e+14   61      0        0  2.32e+09  0.00e+00  0.00e+00  1.61e+42  1.82e-13  9.31e+10  1.07e+05  1.00e+05  5.92e-11  3.15e-10  0.00e+00  0.00e+00  1.44e-05 -8.59e+33 -4.27e+32 -5.36e+33  3.24e+05  5.81e+06  1.91e+07  0.00e+00  1.60e+07 
1.612e+14 1.638e+14   62      0        0  2.31e+09  0.00e+00  0.00e+00  1.77e+42  1.72e-13  8.83e+10  1.06e+05  9.93e+04  6.19e-11  3.57e-10  0.00e+00  0.00e+00  1.58e-05 -8.97e+33 -1.40e+32 -5.69e+33  3.16e+05  5.66e+06  1.91e+07  0.00e+00  1.59e+07 
1.664e+14 1.691e+14   63      0        0  2.30e+09  0.00e+00  0.00e+00  1.95e+42  1.64e-13  8.39e+10  1.04e+05  9.85e+04  5.77e-11  3.62e-10  0.00e+00  0.00e+00  1.76e-05 -8.55e+33 -2.69e+32 -5.12e+33  3.09e+05  5.45e+06  1.90e+07  0.00e+00  1.58e+07 
1.718e+14 1.746e+14   64      0        0  2.29e+09  0.00e+00  0.00e+00  2.14e+42  1.56e-13  7.97e+10  1.03e+05  9.77e+04  6.17e-11  3.79e-10  0.00e+00  0.00e+00  1.92e-05 -8.17e+33  9.29e+31 -5.14e+33  3.03e+05  5.32e+06  1.90e+07  0.00e+00  1.57e+07 
1.774e+14 1.803e+14   65      0        0  2.29e+09  0.00e+00  0.00e+00  2.36e+42  1.48e-13  7.57e+10  1.02e+05  9.70e+04  5.90e-11  4.01e-10  0.00e+00  0.00e+00  2.12e-05 -8.11e+33 -4.50e+30 -5.22e+33  2.96e+05  5.19e+06  1.90e+07  0.00e+00  1.56e+07 
1.832e+14 1.862e+14   66      0        0  2.28e+09  0.00e+00  0.00e+00  2.60e+42  1.41e-13  7.22e+10  1.01e+05  9.62e+04  5.64e-11  4.32e-10  0.00e+00  0.00e+00  2.35e-05 -8.05e+33  2.65e+32 -4.80e+33  2.89e+05  5.04e+06  1.89e+07  0.00e+00  1.55e+07 
1.891e+14 1.922e+14   67      0        0  2.27e+09  0.00e+00  0.00e+00  2.86e+42  1.34e-13  6.88e+10  9.94e+04  9.55e+04  6.49e-11  4.69e-10  0.00e+00  0.00e+00  2.50e-05 -7.63e+33 -1.75e+32 -4.76e+33  2.82e+05  4.90e+06  1.89e+07  0.00e+00  1.55e+07 
1.953e+14 1.984e+14   68      0        0  2.25e+09  0.00e+00  0.00e+00  3.15e+42  1.28e-13  6.57e+10  9.83e+04  9.49e+04  6.52e-11  5.11e-10  0.00e+00  0.00e+00  2.78e-05 -7.45e+33 -3.24e+31 -4.71e+33  2.75e+05  4.77e+06  1.89e+07  0.00e+00  1.54e+07 
2.016e+14 2.049e+14   69      0        0  2.24e+09  0.00e+00  0.00e+00  3.46e+42  1.22e-13  6.26e+10  9.72e+04  9.42e+04  5.51e-11  5.43e-10  0.00e+00  0.00e+00  3.04e-05 -7.01e+33  1.27e+32 -4.41e+33  2.69e+05  4.64e+06  1.89e+07  0.00e+00  1.54e+07 
2.082e+14 2.115e+14   70      0        0  2.22e+09  0.00e+00  0.00e+00  3.81e+42  1.17e-13  5.99e+10  9.62e+04  9.36e+04  6.57e-11  5.90e-10  0.00e+00  0.00e+00  3.36e-05 -7.69e+33  1.51e+32 -4.65e+33  2.63e+05  4.51e+06  1.89e+07  0.00e+00  1.53e+07 
2.149e+14 2.184e+14   71      0        0  2.20e+09  0.00e+00  0.00e+00  4.19e+42  1.12e-13  5.71e+10  9.51e+04  9.30e+04  6.97e-11  6.14e-10  0.00e+00  0.00e+00  3.64e-05 -7.08e+33  3.97e+31 -4.54e+33  2.57e+05  4.35e+06  1.89e+07  0.00e+00  1.53e+07 
2.219e+14 2.255e+14   72      0        0  2.17e+09  0.00e+00  0.00e+00  4.62e+42  1.07e-13  5.48e+10  9.41e+04  9.24e+04  7.53e-11  6.66e-10  0.00e+00  0.00e+00  4.02e-05 -6.98e+33  1.76e+32 -4.41e+33  2.50e+05  4.23e+06  1.90e+07  0.00e+00  1.52e+07 
2.291e+14 2.328e+14   73      0        0  2.16e+09  0.00e+00  0.00e+00  5.08e+42  1.02e-13  5.24e+10  9.32e+04  9.18e+04  7.40e-11  7.16e-10  0.00e+00  0.00e+00  4.38e-05 -6.99e+33 -9.18e+30 -4.47e+33  2.45e+05  4.12e+06  1.90e+07  0.00e+00  1.52e+07 
2.365e+14 2.404e+14   74      0        0  2.14e+09  0.00e+00  0.00e+00  5.59e+42  9.84e-14  5.04e+10  9.23e+04  9.13e+04  7.01e-11  7.74e-10  0.00e+00  0.00e+00  4.83e-05 -6.77e+33 -1.20e+32 -4.55e+33  2.38e+05  3.98e+06  1.90e+07  0.00e+00  1.52e+07 
2.442e+14 2.482e+14   75      0        0  2.11e+09  0.00e+00  0.00e+00  6.15e+42  9.44e-14  4.83e+10  9.15e+04  9.08e+04  6.79e-11  8.25e-10  0.00e+00  0.00e+00  5.15e-05 -7.05e+33  1.44e+32 -4.49e+33  2.32e+05  3.89e+06  1.91e+07  0.00e+00  1.52e+07 
2.521e+14 2.562e+14   76      0        0  2.07e+09  0.00e+00  0.00e+00  6.77e+42  9.11e-14  4.66e+10  9.05e+04  9.03e+04  6.67e-11  8.76e-10  0.00e+00  0.00e+00  5.67e-05 -6.77e+33  7.50e+31 -4.32e+33  2.25e+05  3.74e+06  1.91e+07  0.00e+00  1.51e+07 
2.603e+14 2.646e+14   77      0        0  2.04e+09  0.00e+00  0.00e+00  7.45e+42  8.85e-14  4.53e+10  8.97e+04  8.98e+04  7.74e-11  9.47e-10  0.00e+00  0.00e+00  5.95e-05 -6.60e+33  6.91e+31 -4.67e+33  2.16e+05  3.60e+06  1.91e+07  0.00e+00  1.51e+07 
2.688e+14 2.731e+14   78      0        0  2.02e+09  0.00e+00  0.00e+00  8.20e+42  8.58e-14  4.39e+10  8.89e+04  8.94e+04  7.63e-11  1.04e-09  0.00e+00  0.00e+00  6.69e-05 -6.84e+33 -2.64e+32 -4.55e+33  2.08e+05  3.46e+06  1.92e+07  0.00e+00  1.51e+07 
2.775e+14 2.820e+14   79      0        0  1.99e+09  0.00e+00  0.00e+00  9.03e+42  8.35e-14  4.27e+10  8.81e+04  8.89e+04  6.72e-11  1.12e-09  0.00e+00  0.00e+00  7.30e-05 -7.12e+33  1.46e+32 -4.27e+33  2.00e+05  3.34e+06  1.92e+07  0.00e+00  1.51e+07 
