        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.223e+13    0     -1        0  1.07e+10  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.296e+13    1      0        0  1.10e+10  0.00e+00  0.00e+00  5.49e+39  4.86e-14  2.49e+10  1.98e+05  1.98e+05  8.46e+00  3.82e+01  1.67e+05  1.67e+05  7.11e+00  1.52e+40  1.52e+40  1.52e+40  1.02e+07  2.82e+07  9.86e+06  7.88e-01  0.00e+00  0.00e+00 
2.370e+13    2      0        0  1.13e+10  0.00e+00  0.00e+00  6.07e+39  4.78e-14  2.45e+10  1.87e+05  1.87e+05  2.40e+01  2.29e+01  1.60e+05  1.60e+05  6.85e+00  1.28e+40  1.28e+40  1.28e+40  1.02e+07  2.41e+07  9.83e+06  7.88e-01  0.00e+00  0.00e+00 
2.447e+13    3      0        0  1.16e+10  0.00e+00  0.00e+00  6.72e+39  4.72e-14  2.42e+10  1.79e+05  1.79e+05  1.27e+01  2.37e+01  1.55e+05  1.55e+05  6.60e+00  1.14e+40  1.14e+40  1.14e+40  1.02e+07  2.13e+07  9.80e+06  3.65e-01  0.00e+00  0.00e+00 
2.527e+13    4      0        0  1.19e+10  0.00e+00  0.00e+00  7.43e+39  4.68e-14  2.40e+10  1.72e+05  1.72e+05  2.52e+00  7.31e+00  1.52e+05  1.51e+05  6.37e+00  1.05e+40  1.05e+40  1.05e+40  1.02e+07  1.90e+07  9.77e+06  2.23e-01  0.00e+00  0.00e+00 
2.609e+13    5      0        0  1.22e+10  0.00e+00  0.00e+00  8.21e+39  4.66e-14  2.38e+10  1.66e+05  1.66e+05  7.25e-01  2.19e+01  1.48e+05  1.48e+05  6.16e+00  9.83e+39  9.83e+39  9.83e+39  1.02e+07  1.71e+07  9.75e+06  3.51e-01  0.00e+00  0.00e+00 
2.693e+13    6      0        0  1.25e+10  0.00e+00  0.00e+00  9.08e+39  4.66e-14  2.39e+10  1.61e+05  1.61e+05  7.40e+00  1.96e+01  1.45e+05  1.45e+05  5.96e+00  9.33e+39  9.33e+39  9.33e+39  1.02e+07  1.54e+07  9.73e+06  3.32e-01  0.00e+00  0.00e+00 
2.781e+13    7      0        0  1.27e+10  0.00e+00  0.00e+00  1.00e+40  4.68e-14  2.39e+10  1.56e+05  1.56e+05  1.20e+01  2.78e+01  1.42e+05  1.42e+05  5.78e+00  8.94e+39  8.94e+39  8.94e+39  1.02e+07  1.39e+07  9.70e+06  4.74e-01  0.00e+00  0.00e+00 
2.871e+13    8      0        0  1.30e+10  0.00e+00  0.00e+00  1.11e+40  4.70e-14  2.41e+10  1.51e+05  1.51e+05  1.57e+01  2.48e+01  1.39e+05  1.39e+05  5.60e+00  8.62e+39  8.62e+39  8.62e+39  1.02e+07  1.25e+07  9.68e+06  3.51e-01  0.00e+00  0.00e+00 
2.964e+13    9      0        0  1.33e+10  0.00e+00  0.00e+00  1.23e+40  4.74e-14  2.43e+10  1.46e+05  1.46e+05 -9.06e+00  2.37e+01  1.36e+05  1.36e+05  5.46e+00  8.36e+39  8.36e+39  8.36e+39  1.02e+07  1.12e+07  9.65e+06  5.60e-01  0.00e+00  0.00e+00 
3.061e+13   10      0        0  1.37e+10  0.00e+00  0.00e+00  1.36e+40  4.79e-14  2.45e+10  1.42e+05  1.42e+05 -1.20e+01  2.92e+01  1.33e+05  1.33e+05  5.31e+00  8.15e+39  8.15e+39  8.15e+39  1.02e+07  1.01e+07  9.62e+06  3.51e-01  0.00e+00  0.00e+00 
3.160e+13   11      0        0  1.40e+10  0.00e+00  0.00e+00  1.51e+40  4.86e-14  2.49e+10  1.38e+05  1.37e+05  3.50e+00  2.00e+01  1.31e+05  1.31e+05  5.18e+00  8.01e+39  8.01e+39  8.00e+39  1.02e+07  9.08e+06  9.59e+06  3.51e-01  0.00e+00  0.00e+00 
3.262e+13   12      0        0  1.43e+10  0.00e+00  0.00e+00  1.67e+40  4.95e-14  2.53e+10  1.34e+05  1.34e+05  1.16e+01  1.88e+01  1.28e+05  1.28e+05  5.04e+00  7.92e+39  7.92e+39  7.92e+39  1.02e+07  8.15e+06  9.57e+06  8.00e-01  0.00e+00  0.00e+00 
