        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip        xi      ntot      nrad    nioniz 
2.223e+13 2.260e+13    0     -1        0  1.07e+10  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.296e+13 2.333e+13    1      0        0  1.10e+10  0.00e+00  0.00e+00  5.49e+39  4.86e-14  2.49e+10  1.98e+05  1.67e+05  9.01e-13  2.82e-12  0.00e+00  0.00e+00  3.04e-09 -6.66e+32 -4.36e+31 -5.30e+32  2.82e+07  7.39e+08  1.02e+07  0.00e+00  9.86e+06 
2.370e+13 2.409e+13    2      0        0  1.13e+10  0.00e+00  0.00e+00  6.07e+39  4.78e-14  2.45e+10  1.87e+05  1.60e+05  8.27e-13  3.18e-12  0.00e+00  0.00e+00  5.06e-09 -9.18e+32 -3.52e+31 -4.43e+32  2.41e+07  6.08e+08  1.02e+07  0.00e+00  9.83e+06 
2.447e+13 2.487e+13    3      0        0  1.16e+10  0.00e+00  0.00e+00  6.72e+39  4.72e-14  2.42e+10  1.79e+05  1.55e+05  9.64e-13  4.63e-12  0.00e+00  0.00e+00  7.41e-09 -8.48e+32  8.12e+29 -5.83e+32  2.13e+07  5.24e+08  1.02e+07  0.00e+00  9.80e+06 
2.527e+13 2.568e+13    4      0        0  1.19e+10  0.00e+00  0.00e+00  7.43e+39  4.68e-14  2.40e+10  1.72e+05  1.52e+05  1.28e-12  3.47e-12  0.00e+00  0.00e+00  1.04e-08 -9.63e+32 -1.04e+31 -5.60e+32  1.90e+07  4.59e+08  1.02e+07  0.00e+00  9.77e+06 
2.609e+13 2.651e+13    5      0        0  1.22e+10  0.00e+00  0.00e+00  8.21e+39  4.66e-14  2.38e+10  1.66e+05  1.48e+05  2.01e-12  3.67e-12  0.00e+00  0.00e+00  1.43e-08 -9.18e+32  4.02e+31 -6.42e+32  1.71e+07  4.05e+08  1.02e+07  0.00e+00  9.75e+06 
2.693e+13 2.737e+13    6      0        0  1.25e+10  0.00e+00  0.00e+00  9.08e+39  4.66e-14  2.39e+10  1.61e+05  1.45e+05  1.41e-12  4.89e-12  0.00e+00  0.00e+00  1.94e-08 -9.79e+32  2.70e+31 -6.09e+32  1.54e+07  3.59e+08  1.02e+07  0.00e+00  9.73e+06 
2.781e+13 2.826e+13    7      0        0  1.27e+10  0.00e+00  0.00e+00  1.00e+40  4.68e-14  2.39e+10  1.56e+05  1.42e+05  1.43e-12  6.51e-12  0.00e+00  0.00e+00  2.63e-08 -1.00e+33 -5.17e+31 -5.64e+32  1.39e+07  3.17e+08  1.02e+07  0.00e+00  9.70e+06 
2.871e+13 2.918e+13    8      0        0  1.30e+10  0.00e+00  0.00e+00  1.11e+40  4.70e-14  2.41e+10  1.51e+05  1.39e+05  1.52e-12  7.02e-12  0.00e+00  0.00e+00  3.55e-08 -1.04e+33  9.61e+31 -7.52e+32  1.25e+07  2.81e+08  1.02e+07  0.00e+00  9.68e+06 
2.964e+13 3.012e+13    9      0        0  1.33e+10  0.00e+00  0.00e+00  1.23e+40  4.74e-14  2.43e+10  1.46e+05  1.36e+05  2.55e-12  5.46e-12  0.00e+00  0.00e+00  4.81e-08 -1.07e+33  1.34e+31 -7.37e+32  1.12e+07  2.50e+08  1.02e+07  0.00e+00  9.65e+06 
