  i            r          v_r          rho          t_r          t_e
 73 2.290985e+14 1.584202e+07 1.145778e-12 8.847633e+04 7.962869e+04
 74 2.365369e+14 1.230413e+07 1.111506e-12 8.697883e+04 7.828095e+04
 75 2.442167e+14 9.929942e+06 1.077282e-12 8.541198e+04 7.687078e+04
 76 2.521460e+14 8.411665e+06 1.048084e-12 8.392211e+04 7.552990e+04
 77 2.603326e+14 7.315796e+06 1.020897e-12 8.254806e+04 7.429325e+04
 78 2.687851e+14 5.444330e+06 9.909502e-13 8.106600e+04 7.295940e+04
 79 2.775120e+14 4.861615e+06 9.614718e-13 7.952724e+04 7.157451e+04
 80 2.865223e+14 4.510431e+06 9.395929e-13 7.812470e+04 7.031223e+04
 81 2.958250e+14 4.740877e+06 9.199766e-13 7.691604e+04 6.922443e+04
 82 3.054299e+14 4.560306e+06 9.032326e-13 7.565203e+04 6.808683e+04
 83 3.153466e+14 4.752550e+06 8.770812e-13 7.411967e+04 6.670770e+04
 84 3.255852e+14 6.498000e+06 8.583440e-13 7.272446e+04 6.545201e+04
 85 3.361563e+14 1.046640e+07 8.556740e-13 7.171893e+04 6.454704e+04
 86 3.470706e+14 2.189022e+07 8.559689e-13 7.069932e+04 6.362939e+04
 87 3.583393e+14 4.226001e+07 8.365261e-13 6.928452e+04 6.235606e+04
 88 3.699739e+14 7.226032e+07 8.106373e-13 6.787792e+04 6.109012e+04
 89 3.819862e+14 1.151796e+08 7.990321e-13 6.685480e+04 6.016932e+04
 90 3.943885e+14 1.765135e+08 7.951825e-13 6.587987e+04 5.929189e+04
 91 4.071935e+14 2.224801e+08 7.826982e-13 6.447974e+04 5.803176e+04
 92 4.204142e+14 2.482039e+08 7.651260e-13 6.291623e+04 5.662461e+04
 93 4.340642e+14 2.876253e+08 7.512863e-13 6.159076e+04 5.543169e+04
 94 4.481574e+14 3.668760e+08 7.393559e-13 6.034965e+04 5.431468e+04
 95 4.627082e+14 4.428931e+08 7.187219e-13 5.876526e+04 5.288874e+04
 96 4.777314e+14 4.741732e+08 6.910386e-13 5.680549e+04 5.112494e+04
 97 4.932423e+14 4.991353e+08 6.525004e-13 5.450674e+04 4.905607e+04
 98 5.092569e+14 5.737938e+08 5.763148e-13 5.180877e+04 4.662789e+04
 99 5.257914e+14 6.612335e+08 4.860589e-13 4.901692e+04 4.411523e+04
100 5.428628e+14 6.867243e+08 3.667562e-13 4.600282e+04 4.140254e+04
101 5.604885e+14 6.852599e+08 2.724470e-13 4.310031e+04 3.879028e+04
102 5.786864e+14 7.455440e+08 1.917028e-13 4.038971e+04 3.635074e+04
103 5.974752e+14 8.465752e+08 1.325803e-13 3.791793e+04 3.412613e+04
104 6.168740e+14 9.000544e+08 8.986813e-14 3.571351e+04 3.214216e+04
105 6.369026e+14 9.126305e+08 6.201481e-14 3.384665e+04 3.046199e+04
106 6.575815e+14 9.593201e+08 4.185063e-14 3.228623e+04 2.905761e+04
107 6.789319e+14 1.047595e+09 2.806493e-14 3.095144e+04 2.785629e+04
108 7.009754e+14 1.128299e+09 1.916333e-14 2.990527e+04 2.691474e+04
109 7.237347e+14 1.193450e+09 1.339746e-14 2.913030e+04 2.621727e+04
110 7.472329e+14 1.269589e+09 9.566646e-15 2.863270e+04 2.576943e+04
111 7.714940e+14 1.357484e+09 6.866095e-15 2.827014e+04 2.544312e+04
112 7.965428e+14 1.422414e+09 4.972775e-15 2.787679e+04 2.508911e+04
113 8.224050e+14 1.479503e+09 3.643414e-15 2.751280e+04 2.476152e+04
114 8.491068e+14 1.566548e+09 2.707264e-15 2.732120e+04 2.458908e+04
115 8.766756e+14 1.653825e+09 2.038121e-15 2.726991e+04 2.454292e+04
116 9.051394e+14 1.723033e+09 1.557965e-15 2.719343e+04 2.447409e+04
117 9.345275e+14 1.775815e+09 1.183192e-15 2.709981e+04 2.438983e+04
118 9.648697e+14 1.844644e+09 9.238696e-16 2.705504e+04 2.434954e+04
119 9.961970e+14 1.908862e+09 7.334370e-16 2.708545e+04 2.437691e+04
120 1.028542e+15 1.971756e+09 6.169052e-16 2.709727e+04 2.438754e+04
121 1.061936e+15 2.068481e+09 5.307149e-16 2.708197e+04 2.437377e+04
122 1.096415e+15 2.136674e+09 4.620069e-16 2.706100e+04 2.435490e+04
123 1.132013e+15 2.151189e+09 4.081182e-16 2.707636e+04 2.436873e+04
124 1.168768e+15 2.133357e+09 3.732427e-16 2.706398e+04 2.435759e+04
125 1.206715e+15 2.134587e+09 3.561312e-16 2.703539e+04 2.433185e+04
