  i            r          v_r          rho          t_r          t_e
--- ------------ ------------ ------------ ------------ ------------
  0 2.223471e+13 1.067833e+10 0.000000e+00 0.000000e+00 0.000000e+00
  1 2.295662e+13 1.097986e+10 5.236460e-14 2.636715e+05 2.373044e+05
  2 2.370198e+13 1.130384e+10 5.173679e-14 2.614953e+05 2.353458e+05
  3 2.447153e+13 1.163541e+10 5.135032e-14 2.590128e+05 2.331115e+05
  4 2.526607e+13 1.194010e+10 5.111041e-14 2.558223e+05 2.302401e+05
  5 2.608641e+13 1.221591e+10 5.110193e-14 2.526998e+05 2.274299e+05
  6 2.693338e+13 1.247580e+10 5.136533e-14 2.499090e+05 2.249181e+05
  7 2.780786e+13 1.274573e+10 5.178544e-14 2.469498e+05 2.222549e+05
  8 2.871072e+13 1.303586e+10 5.236034e-14 2.436877e+05 2.193189e+05
  9 2.964290e+13 1.334618e+10 5.307588e-14 2.408083e+05 2.167275e+05
 10 3.060534e+13 1.366228e+10 5.395538e-14 2.386364e+05 2.147727e+05
 11 3.159904e+13 1.397317e+10 5.507334e-14 2.365900e+05 2.129310e+05
 12 3.262499e+13 1.425880e+10 5.638879e-14 2.342147e+05 2.107933e+05
 13 3.368426e+13 1.452406e+10 5.793668e-14 2.313349e+05 2.082014e+05
 14 3.477792e+13 1.478552e+10 5.964946e-14 2.279108e+05 2.051197e+05
 15 3.590709e+13 1.506050e+10 6.157489e-14 2.246705e+05 2.022035e+05
 16 3.707292e+13 1.534484e+10 6.352733e-14 2.224497e+05 2.002047e+05
 17 3.827660e+13 1.562681e+10 6.572160e-14 2.206618e+05 1.985956e+05
 18 3.951937e+13 1.588471e+10 6.798337e-14 2.183355e+05 1.965020e+05
 19 4.080248e+13 1.610876e+10 7.042922e-14 2.155033e+05 1.939530e+05
 20 4.212725e+13 1.632145e+10 7.278751e-14 2.126153e+05 1.913538e+05
 21 4.349504e+13 1.654082e+10 7.512749e-14 2.098731e+05 1.888858e+05
 22 4.490723e+13 1.675531e+10 7.742214e-14 2.073012e+05 1.865710e+05
 23 4.636528e+13 1.695322e+10 7.975871e-14 2.048385e+05 1.843547e+05
 24 4.787067e+13 1.713552e+10 8.193835e-14 2.022803e+05 1.820522e+05
 25 4.942493e+13 1.730514e+10 8.399290e-14 1.995866e+05 1.796280e+05
 26 5.102966e+13 1.746458e+10 8.593690e-14 1.968749e+05 1.771874e+05
 27 5.268649e+13 1.761437e+10 8.782818e-14 1.941981e+05 1.747783e+05
 28 5.439711e+13 1.775170e+10 8.950926e-14 1.914414e+05 1.722972e+05
 29 5.616327e+13 1.787335e+10 9.093517e-14 1.886128e+05 1.697515e+05
 30 5.798678e+13 1.798367e+10 9.212997e-14 1.858234e+05 1.672411e+05
 31 5.986949e+13 1.809075e+10 9.316333e-14 1.831472e+05 1.648325e+05
 32 6.181334e+13 1.819151e+10 9.399329e-14 1.804559e+05 1.624103e+05
 33 6.382029e+13 1.827996e+10 9.461366e-14 1.776427e+05 1.598785e+05
 34 6.589240e+13 1.835432e+10 9.499519e-14 1.747683e+05 1.572914e+05
 35 6.803180e+13 1.841876e+10 9.510721e-14 1.719206e+05 1.547285e+05
 36 7.024065e+13 1.847410e+10 9.501442e-14 1.691175e+05 1.522058e+05
 37 7.252122e+13 1.851976e+10 9.478602e-14 1.663580e+05 1.497222e+05
 38 7.487584e+13 1.855425e+10 9.441810e-14 1.636761e+05 1.473085e+05
 39 7.730691e+13 1.857860e+10 9.390358e-14 1.610818e+05 1.449736e+05
 40 7.981690e+13 1.859268e+10 9.324796e-14 1.585394e+05 1.426855e+05
 41 8.240840e+13 1.859857e+10 9.246298e-14 1.560229e+05 1.404206e+05
 42 8.508403e+13 1.859416e+10 9.155045e-14 1.535541e+05 1.381987e+05
 43 8.784654e+13 1.857740e+10 9.052458e-14 1.511765e+05 1.360589e+05
 44 9.069873e+13 1.854441e+10 8.938656e-14 1.488196e+05 1.339377e+05
 45 9.364354e+13 1.850067e+10 8.819913e-14 1.464041e+05 1.317637e+05
 46 9.668395e+13 1.844675e+10 8.697213e-14 1.439724e+05 1.295752e+05
 47 9.982308e+13 1.838253e+10 8.574018e-14 1.416309e+05 1.274678e+05
 48 1.030641e+14 1.830558e+10 8.450029e-14 1.394104e+05 1.254693e+05
 49 1.064104e+14 1.821791e+10 8.327716e-14 1.372926e+05 1.235633e+05
 50 1.098654e+14 1.812066e+10 8.207696e-14 1.352158e+05 1.216942e+05
 51 1.134325e+14 1.801421e+10 8.090193e-14 1.331601e+05 1.198441e+05
 52 1.171154e+14 1.789902e+10 7.975441e-14 1.311193e+05 1.180074e+05
 53 1.209179e+14 1.777026e+10 7.866977e-14 1.291371e+05 1.162234e+05
 54 1.248438e+14 1.762309e+10 7.763552e-14 1.272479e+05 1.145231e+05
 55 1.288973e+14 1.746293e+10 7.651538e-14 1.254603e+05 1.129143e+05
 56 1.330823e+14 1.730243e+10 7.525837e-14 1.237576e+05 1.113818e+05
 57 1.374032e+14 1.713873e+10 7.389690e-14 1.220871e+05 1.098784e+05
 58 1.418644e+14 1.696654e+10 7.245101e-14 1.203952e+05 1.083557e+05
 59 1.464705e+14 1.678194e+10 7.091176e-14 1.187794e+05 1.069015e+05
 60 1.512261e+14 1.659537e+10 6.926309e-14 1.173242e+05 1.055918e+05
 61 1.561361e+14 1.640319e+10 6.751789e-14 1.159538e+05 1.043585e+05
 62 1.612055e+14 1.620566e+10 6.570374e-14 1.145855e+05 1.031269e+05
 63 1.664395e+14 1.599804e+10 6.382608e-14 1.132313e+05 1.019082e+05
 64 1.718434e+14 1.579131e+10 6.188635e-14 1.119251e+05 1.007326e+05
 65 1.774229e+14 1.558434e+10 5.991359e-14 1.106770e+05 9.960934e+04
 66 1.831834e+14 1.537869e+10 5.795226e-14 1.094893e+05 9.854035e+04
 67 1.891310e+14 1.517040e+10 5.599832e-14 1.083664e+05 9.752973e+04
 68 1.952717e+14 1.496536e+10 5.403786e-14 1.073020e+05 9.657181e+04
 69 2.016118e+14 1.476233e+10 5.208751e-14 1.062322e+05 9.560899e+04
 70 2.081577e+14 1.456445e+10 5.018650e-14 1.050841e+05 9.457571e+04
 71 2.149162e+14 1.437058e+10 4.831492e-14 1.038697e+05 9.348270e+04
 72 2.218941e+14 1.418059e+10 4.645411e-14 1.026710e+05 9.240390e+04
 73 2.290985e+14 1.399040e+10 4.460541e-14 1.014872e+05 9.133848e+04
 74 2.365369e+14 1.380326e+10 4.278556e-14 1.002559e+05 9.023027e+04
 75 2.442167e+14 1.362269e+10 4.099703e-14 9.896286e+04 8.906658e+04
 76 2.521460e+14 1.344945e+10 3.924241e-14 9.766771e+04 8.790094e+04
 77 2.603326e+14 1.328337e+10 3.753118e-14 9.639484e+04 8.675536e+04
 78 2.687851e+14 1.312038e+10 3.589590e-14 9.512950e+04 8.561655e+04
 79 2.775120e+14 1.296128e+10 3.434488e-14 9.386313e+04 8.447682e+04
 80 2.865223e+14 1.280243e+10 3.288434e-14 9.258823e+04 8.332941e+04
 81 2.958250e+14 1.264089e+10 3.151217e-14 9.129548e+04 8.216593e+04
 82 3.054299e+14 1.247765e+10 3.020305e-14 8.998851e+04 8.098966e+04
 83 3.153466e+14 1.231594e+10 2.893336e-14 8.868991e+04 7.982092e+04
 84 3.255852e+14 1.215872e+10 2.770367e-14 8.739937e+04 7.865943e+04
 85 3.361563e+14 1.200907e+10 2.652360e-14 8.611373e+04 7.750236e+04
 86 3.470706e+14 1.186678e+10 2.539080e-14 8.483199e+04 7.634879e+04
 87 3.583393e+14 1.173164e+10 2.429663e-14 8.355593e+04 7.520034e+04
 88 3.699739e+14 1.160168e+10 2.323198e-14 8.223857e+04 7.401471e+04
 89 3.819862e+14 1.147742e+10 2.219702e-14 8.082536e+04 7.274283e+04
 90 3.943885e+14 1.136004e+10 2.120010e-14 7.936998e+04 7.143298e+04
 91 4.071935e+14 1.125230e+10 2.024465e-14 7.794537e+04 7.015083e+04
 92 4.204142e+14 1.115129e+10 1.932855e-14 7.653529e+04 6.888176e+04
 93 4.340642e+14 1.105031e+10 1.844270e-14 7.511090e+04 6.759981e+04
 94 4.481574e+14 1.094651e+10 1.758878e-14 7.372067e+04 6.634860e+04
 95 4.627082e+14 1.084994e+10 1.676351e-14 7.243011e+04 6.518710e+04
 96 4.777314e+14 1.076693e+10 1.597318e-14 7.120208e+04 6.408188e+04
 97 4.932423e+14 1.068823e+10 1.522760e-14 6.993444e+04 6.294100e+04
 98 5.092569e+14 1.060652e+10 1.451991e-14 6.859917e+04 6.173925e+04
 99 5.257914e+14 1.052398e+10 1.383492e-14 6.722884e+04 6.050596e+04
100 5.428628e+14 1.044565e+10 1.316726e-14 6.586147e+04 5.927533e+04
101 5.604885e+14 1.037752e+10 1.252209e-14 6.452544e+04 5.807290e+04
102 5.786864e+14 1.032344e+10 1.189789e-14 6.323767e+04 5.691390e+04
103 5.974752e+14 1.027008e+10 1.128590e-14 6.194812e+04 5.575331e+04
104 6.168740e+14 1.020172e+10 1.067855e-14 6.064543e+04 5.458088e+04
105 6.369026e+14 1.013717e+10 1.007370e-14 5.946468e+04 5.351821e+04
106 6.575815e+14 1.010434e+10 9.473267e-15 5.847847e+04 5.263062e+04
107 6.789319e+14 1.008443e+10 8.884799e-15 5.754965e+04 5.179469e+04
108 7.009754e+14 1.003622e+10 8.313672e-15 5.654149e+04 5.088734e+04
109 7.237347e+14 9.975018e+09 7.748876e-15 5.553985e+04 4.998586e+04
110 7.472329e+14 9.956377e+09 7.183734e-15 5.466434e+04 4.919791e+04
111 7.714940e+14 9.976359e+09 6.640454e-15 5.388351e+04 4.849515e+04
112 7.965428e+14 9.971752e+09 6.136058e-15 5.313099e+04 4.781789e+04
113 8.224050e+14 9.934714e+09 5.666171e-15 5.238401e+04 4.714561e+04
114 8.491068e+14 9.938925e+09 5.227211e-15 5.163927e+04 4.647535e+04
115 8.766756e+14 1.001055e+10 4.818890e-15 5.092144e+04 4.582930e+04
116 9.051394e+14 1.006374e+10 4.441636e-15 5.025606e+04 4.523045e+04
117 9.345275e+14 1.005068e+10 4.090073e-15 4.959290e+04 4.463361e+04
118 9.648697e+14 1.006172e+10 3.759536e-15 4.884595e+04 4.396136e+04
119 9.961970e+14 1.016674e+10 3.452526e-15 4.807370e+04 4.326633e+04
120 1.028542e+15 1.026744e+10 3.173070e-15 4.741560e+04 4.267404e+04
121 1.061936e+15 1.026660e+10 2.918828e-15 4.684235e+04 4.215812e+04
122 1.096415e+15 1.025332e+10 2.681888e-15 4.619096e+04 4.157186e+04
123 1.132013e+15 1.034009e+10 2.457775e-15 4.544470e+04 4.090023e+04
124 1.168768e+15 1.044912e+10 2.247611e-15 4.475004e+04 4.027504e+04
125 1.206715e+15 1.046553e+10 2.049869e-15 4.418871e+04 3.976984e+04
126 1.245895e+15 1.047033e+10 1.863295e-15 4.366008e+04 3.929407e+04
127 1.286346e+15 1.060561e+10 1.684983e-15 4.305507e+04 3.874956e+04
128 1.328111e+15 1.080515e+10 1.517392e-15 4.235484e+04 3.811935e+04
129 1.371233e+15 1.091438e+10 1.362728e-15 4.164041e+04 3.747637e+04
130 1.415754e+15 1.095656e+10 1.223095e-15 4.112180e+04 3.700962e+04
131 1.461720e+15 1.106769e+10 1.097607e-15 4.095041e+04 3.685537e+04
132 1.509179e+15 1.125686e+10 9.800634e-16 4.088519e+04 3.679667e+04
133 1.558179e+15 1.142773e+10 8.662305e-16 4.058051e+04 3.652246e+04
134 1.608770e+15 1.157175e+10 7.645213e-16 4.010673e+04 3.609605e+04
135 1.661004e+15 1.180335e+10 6.783949e-16 3.967915e+04 3.571123e+04
136 1.714933e+15 1.214509e+10 6.021767e-16 3.940325e+04 3.546293e+04
137 1.770614e+15 1.244100e+10 5.331677e-16 3.928638e+04 3.535774e+04
138 1.828102e+15 1.262702e+10 4.736083e-16 3.914696e+04 3.523226e+04
139 1.887457e+15 1.285484e+10 4.234853e-16 3.878906e+04 3.491015e+04
140 1.948739e+15 1.321867e+10 3.788451e-16 3.833667e+04 3.450301e+04
141 2.012010e+15 1.355623e+10 3.375590e-16 3.802033e+04 3.421830e+04
142 2.077336e+15 1.374048e+10 3.008019e-16 3.780987e+04 3.402888e+04
143 2.144783e+15 1.396895e+10 2.693296e-16 3.752767e+04 3.377490e+04
144 2.214420e+15 1.445961e+10 2.403422e-16 3.711917e+04 3.340725e+04
145 2.286317e+15 1.498075e+10 2.123606e-16 3.671356e+04 3.304220e+04
146 2.360549e+15 1.520264e+10 1.862827e-16 3.642507e+04 3.278256e+04
147 2.437192e+15 1.529371e+10 1.643661e-16 3.618122e+04 3.256309e+04
148 2.516322e+15 1.560587e+10 1.473700e-16 3.589928e+04 3.230935e+04
149 2.598022e+15 1.619259e+10 1.346512e-16 3.571628e+04 3.214465e+04
150 2.682375e+15 1.666471e+10 1.261593e-16 3.577701e+04 3.219931e+04
151 2.769466e+15 1.646664e+10 1.219820e-16 3.619586e+04 3.257627e+04
152 2.859385e+15 1.573645e+10 1.208958e-16 3.682974e+04 3.314676e+04
153 2.952223e+15 1.470844e+10 0.000000e+00 0.000000e+00 0.000000e+00
154 3.048076e+15 1.470844e+10 0.000000e+00 0.000000e+00 0.000000e+00
