        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip        xi      ntot      nrad    nioniz 
2.223e+13 2.260e+13    0     -1        0  4.63e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.296e+13 2.333e+13    1      0        0  4.41e+08  0.00e+00  0.00e+00  5.10e+39  1.56e-11  8.01e+12  3.17e+05  2.01e+05  2.34e-10  4.76e-10  0.00e+00  0.00e+00  7.74e-08 -5.42e+32 -1.93e+33 -1.89e+33  2.69e+05  8.23e+06  2.01e+07  0.00e+00  1.97e+07 
2.370e+13 2.409e+13    2      0        0  4.18e+08  0.00e+00  0.00e+00  5.61e+39  1.53e-11  7.83e+12  3.14e+05  2.05e+05  3.26e-10  4.52e-10  0.00e+00  0.00e+00  6.76e-08 -9.22e+32  6.98e+32  3.06e+32  2.72e+05  8.49e+06  2.13e+07  0.00e+00  2.09e+07 
2.447e+13 2.487e+13    3      0        0  3.95e+08  0.00e+00  0.00e+00  6.18e+39  1.49e-11  7.65e+12  3.10e+05  2.09e+05  3.19e-10  4.61e-10  0.00e+00  0.00e+00  6.13e-08 -6.79e+33 -1.38e+33 -2.93e+33  2.72e+05  8.61e+06  2.22e+07  0.00e+00  2.18e+07 
2.527e+13 2.568e+13    4      0        0  3.73e+08  0.00e+00  0.00e+00  6.80e+39  1.46e-11  7.49e+12  3.06e+05  2.13e+05  4.69e-10  6.19e-10  0.00e+00  0.00e+00  5.69e-08  1.43e+33  4.91e+32  5.50e+32  2.72e+05  8.74e+06  2.31e+07  0.00e+00  2.27e+07 
2.609e+13 2.651e+13    5      0        0  3.51e+08  0.00e+00  0.00e+00  7.48e+39  1.43e-11  7.34e+12  3.03e+05  2.16e+05  3.85e-10  6.70e-10  0.00e+00  0.00e+00  5.35e-08 -3.68e+33 -1.17e+33 -1.84e+33  2.71e+05  8.90e+06  2.40e+07  0.00e+00  2.37e+07 
2.693e+13 2.737e+13    6      0        0  3.32e+08  0.00e+00  0.00e+00  8.23e+39  1.40e-11  7.19e+12  3.00e+05  2.18e+05  4.36e-10  6.71e-10  0.00e+00  0.00e+00  5.10e-08 -4.70e+33  2.34e+33 -2.15e+33  2.69e+05  9.02e+06  2.49e+07  0.00e+00  2.46e+07 
2.781e+13 2.826e+13    7      0        0  3.16e+08  0.00e+00  0.00e+00  9.06e+39  1.38e-11  7.05e+12  2.98e+05  2.21e+05  4.67e-10  6.88e-10  0.00e+00  0.00e+00  4.92e-08 -8.21e+33  1.13e+33 -7.00e+33  2.67e+05  8.92e+06  2.58e+07  0.00e+00  2.54e+07 
2.871e+13 2.918e+13    8      0        0  3.01e+08  0.00e+00  0.00e+00  9.97e+39  1.35e-11  6.92e+12  2.95e+05  2.23e+05  5.49e-10  6.90e-10  0.00e+00  0.00e+00  4.79e-08 -7.76e+33 -3.55e+32 -8.43e+33  2.64e+05  8.85e+06  2.67e+07  0.00e+00  2.63e+07 
2.964e+13 3.012e+13    9      0        0  2.88e+08  0.00e+00  0.00e+00  1.10e+40  1.32e-11  6.78e+12  2.93e+05  2.26e+05  5.91e-10  8.53e-10  0.00e+00  0.00e+00  4.68e-08 -7.23e+33  1.31e+32 -2.95e+33  2.61e+05  8.90e+06  2.76e+07  0.00e+00  2.72e+07 
3.061e+13 3.110e+13   10      0        0  2.75e+08  0.00e+00  0.00e+00  1.21e+40  1.30e-11  6.66e+12  2.90e+05  2.28e+05  5.70e-10  8.50e-10  0.00e+00  0.00e+00  4.58e-08 -3.85e+33  1.98e+32 -6.57e+33  2.58e+05  8.94e+06  2.85e+07  0.00e+00  2.81e+07 
3.160e+13 3.211e+13   11      0        0  2.62e+08  0.00e+00  0.00e+00  1.33e+40  1.28e-11  6.55e+12  2.88e+05  2.29e+05  6.39e-10  8.52e-10  0.00e+00  0.00e+00  4.52e-08 -5.82e+33  5.19e+32 -3.63e+33  2.54e+05  9.01e+06  2.93e+07  0.00e+00  2.90e+07 
3.262e+13 3.315e+13   12      0        0  2.51e+08  0.00e+00  0.00e+00  1.46e+40  1.26e-11  6.47e+12  2.86e+05  2.31e+05  7.00e-10  7.28e-10  0.00e+00  0.00e+00  4.51e-08 -1.70e+34  1.12e+33 -1.04e+34  2.48e+05  8.88e+06  3.02e+07  0.00e+00  2.98e+07 
3.368e+13 3.423e+13   13      0        0  2.40e+08  0.00e+00  0.00e+00  1.61e+40  1.25e-11  6.41e+12  2.84e+05  2.32e+05  7.39e-10  1.04e-09  0.00e+00  0.00e+00  4.56e-08 -1.65e+34  2.62e+33 -1.19e+34  2.42e+05  8.69e+06  3.11e+07  0.00e+00  3.07e+07 
3.478e+13 3.534e+13   14      0        0  2.30e+08  0.00e+00  0.00e+00  1.77e+40  1.24e-11  6.36e+12  2.82e+05  2.34e+05  8.24e-10  1.05e-09  0.00e+00  0.00e+00  4.63e-08 -1.68e+34 -1.03e+33 -1.11e+34  2.34e+05  8.44e+06  3.19e+07  0.00e+00  3.15e+07 
3.591e+13 3.649e+13   15      0        0  2.20e+08  0.00e+00  0.00e+00  1.95e+40  1.24e-11  6.33e+12  2.81e+05  2.35e+05  7.80e-10  1.17e-09  0.00e+00  0.00e+00  4.72e-08 -1.89e+34 -5.54e+32 -1.48e+34  2.27e+05  8.26e+06  3.27e+07  0.00e+00  3.23e+07 
3.707e+13 3.767e+13   16      0        0  2.11e+08  0.00e+00  0.00e+00  2.15e+40  1.23e-11  6.30e+12  2.79e+05  2.36e+05  8.47e-10  1.23e-09  0.00e+00  0.00e+00  4.85e-08 -1.78e+34  1.18e+33 -1.20e+34  2.18e+05  7.97e+06  3.34e+07  0.00e+00  3.30e+07 
3.828e+13 3.890e+13   17      0        0  2.03e+08  0.00e+00  0.00e+00  2.36e+40  1.23e-11  6.28e+12  2.77e+05  2.36e+05  8.40e-10  1.38e-09  0.00e+00  0.00e+00  5.04e-08 -2.12e+34 -4.87e+32 -7.43e+33  2.10e+05  7.78e+06  3.40e+07  0.00e+00  3.36e+07 
3.952e+13 4.016e+13   18      0        0  1.95e+08  0.00e+00  0.00e+00  2.60e+40  1.22e-11  6.26e+12  2.74e+05  2.37e+05  9.24e-10  1.34e-09  0.00e+00  0.00e+00  5.25e-08 -1.90e+34  3.93e+32 -1.51e+34  2.01e+05  7.58e+06  3.47e+07  0.00e+00  3.42e+07 
4.080e+13 4.146e+13   19      0        0  1.88e+08  0.00e+00  0.00e+00  2.86e+40  1.22e-11  6.24e+12  2.72e+05  2.37e+05  9.68e-10  1.50e-09  0.00e+00  0.00e+00  5.53e-08 -2.28e+34 -2.81e+32 -1.50e+34  1.92e+05  7.16e+06  3.52e+07  0.00e+00  3.47e+07 
4.213e+13 4.281e+13   20      0        0  1.82e+08  0.00e+00  0.00e+00  3.15e+40  1.21e-11  6.20e+12  2.70e+05  2.37e+05  1.14e-09  1.42e-09  0.00e+00  0.00e+00  5.86e-08 -3.03e+34 -6.38e+32 -1.66e+34  1.84e+05  6.86e+06  3.56e+07  0.00e+00  3.51e+07 
4.350e+13 4.420e+13   21      0        0  1.75e+08  0.00e+00  0.00e+00  3.47e+40  1.21e-11  6.17e+12  2.68e+05  2.37e+05  1.23e-09  1.17e-09  0.00e+00  0.00e+00  6.25e-08 -3.60e+34  1.86e+33 -1.79e+34  1.75e+05  6.62e+06  3.58e+07  0.00e+00  3.54e+07 
4.491e+13 4.564e+13   22      0        0  1.69e+08  0.00e+00  0.00e+00  3.82e+40  1.20e-11  6.13e+12  2.65e+05  2.37e+05  1.21e-09  1.62e-09  0.00e+00  0.00e+00  6.71e-08 -2.67e+34 -4.95e+32 -2.32e+34  1.66e+05  6.26e+06  3.59e+07  0.00e+00  3.55e+07 
4.637e+13 4.712e+13   23      0        0  1.63e+08  0.00e+00  0.00e+00  4.20e+40  1.18e-11  6.07e+12  2.62e+05  2.36e+05  1.26e-09  1.37e-09  0.00e+00  0.00e+00  7.25e-08 -4.51e+34  1.77e+33 -2.70e+34  1.57e+05  5.70e+06  3.59e+07  0.00e+00  3.55e+07 
4.787e+13 4.865e+13   24      0        0  1.58e+08  0.00e+00  0.00e+00  4.62e+40  1.17e-11  5.97e+12  2.59e+05  2.35e+05  1.33e-09  1.74e-09  0.00e+00  0.00e+00  7.97e-08 -4.43e+34 -1.77e+33 -2.72e+34  1.48e+05  5.37e+06  3.57e+07  0.00e+00  3.53e+07 
4.942e+13 5.023e+13   25      0        0  1.55e+08  0.00e+00  0.00e+00  5.09e+40  1.15e-11  5.89e+12  2.55e+05  2.34e+05  1.36e-09  1.91e-09  0.00e+00  0.00e+00  8.86e-08 -4.73e+34  1.44e+32 -2.56e+34  1.40e+05  5.16e+06  3.53e+07  0.00e+00  3.49e+07 
5.103e+13 5.186e+13   26      0        0  1.53e+08  0.00e+00  0.00e+00  5.60e+40  1.13e-11  5.78e+12  2.51e+05  2.32e+05  1.53e-09  2.12e-09  0.00e+00  0.00e+00  9.98e-08 -5.26e+34 -4.32e+32 -2.78e+34  1.31e+05  4.82e+06  3.48e+07  0.00e+00  3.44e+07 
5.269e+13 5.354e+13   27      0        0  1.54e+08  0.00e+00  0.00e+00  6.16e+40  1.11e-11  5.67e+12  2.47e+05  2.29e+05  1.67e-09  2.31e-09  0.00e+00  0.00e+00  1.13e-07 -4.81e+34  6.69e+32 -2.95e+34  1.24e+05  4.56e+06  3.42e+07  0.00e+00  3.38e+07 
5.440e+13 5.528e+13   28      0        0  1.57e+08  0.00e+00  0.00e+00  6.78e+40  1.08e-11  5.55e+12  2.43e+05  2.27e+05  1.65e-09  1.78e-09  0.00e+00  0.00e+00  1.29e-07 -4.03e+34 -6.66e+32 -3.02e+34  1.16e+05  4.29e+06  3.35e+07  0.00e+00  3.31e+07 
5.616e+13 5.708e+13   29      0        0  1.61e+08  0.00e+00  0.00e+00  7.47e+40  1.06e-11  5.43e+12  2.39e+05  2.25e+05  1.69e-09  2.55e-09  0.00e+00  0.00e+00  1.49e-07 -5.27e+34 -1.01e+31 -3.52e+34  1.09e+05  3.89e+06  3.28e+07  0.00e+00  3.24e+07 
5.799e+13 5.893e+13   30      0        0  1.67e+08  0.00e+00  0.00e+00  8.22e+40  1.03e-11  5.30e+12  2.35e+05  2.22e+05  1.91e-09  2.75e-09  0.00e+00  0.00e+00  1.73e-07 -5.06e+34 -4.95e+32 -2.89e+34  1.02e+05  3.58e+06  3.20e+07  0.00e+00  3.16e+07 
