        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.223e+13    0     -1        0  4.63e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.296e+13    1      0        0  4.41e+08  0.00e+00  0.00e+00  5.10e+39  1.56e-11  8.01e+12  3.17e+05  3.17e+05  1.41e+02  2.59e+00  2.01e+05  2.01e+05  1.21e+01  2.67e+43  2.67e+43  2.67e+43  2.01e+07  2.69e+05  1.97e+07  5.22e-01  0.00e+00  0.00e+00 
2.370e+13    2      0        0  4.18e+08  0.00e+00  0.00e+00  5.61e+39  1.53e-11  7.83e+12  3.14e+05  3.14e+05 -2.63e+01  4.20e+01  2.05e+05  2.05e+05  1.11e+01  2.85e+43  2.85e+43  2.85e+43  2.13e+07  2.72e+05  2.09e+07  2.23e-01  0.00e+00  0.00e+00 
2.447e+13    3      0        0  3.95e+08  0.00e+00  0.00e+00  6.18e+39  1.49e-11  7.65e+12  3.10e+05  3.10e+05 -1.68e+01 -2.85e+01  2.09e+05  2.09e+05  1.03e+01  3.01e+43  3.01e+43  3.01e+43  2.22e+07  2.72e+05  2.18e+07  2.03e-01  0.00e+00  0.00e+00 
2.527e+13    4      0        0  3.73e+08  0.00e+00  0.00e+00  6.80e+39  1.46e-11  7.49e+12  3.06e+05  3.06e+05 -1.52e+01  1.03e+01  2.13e+05  2.12e+05  9.55e+00  3.18e+43  3.18e+43  3.18e+43  2.31e+07  2.72e+05  2.27e+07  3.19e-01  0.00e+00  0.00e+00 
2.609e+13    5      0        0  3.51e+08  0.00e+00  0.00e+00  7.48e+39  1.43e-11  7.34e+12  3.03e+05  3.03e+05 -5.31e+01 -1.01e+02  2.16e+05  2.16e+05  8.90e+00  3.36e+43  3.36e+43  3.36e+43  2.40e+07  2.71e+05  2.37e+07  5.02e-01  0.00e+00  0.00e+00 
2.693e+13    6      0        0  3.32e+08  0.00e+00  0.00e+00  8.23e+39  1.40e-11  7.19e+12  3.00e+05  3.00e+05  1.92e+01 -3.28e+01  2.18e+05  2.19e+05  8.35e+00  3.54e+43  3.54e+43  3.54e+43  2.49e+07  2.69e+05  2.46e+07  5.02e-01  0.00e+00  0.00e+00 
2.781e+13    7      0        0  3.16e+08  0.00e+00  0.00e+00  9.06e+39  1.38e-11  7.05e+12  2.98e+05  2.98e+05 -8.25e+01  8.50e+01  2.21e+05  2.21e+05  7.84e+00  3.72e+43  3.72e+43  3.72e+43  2.58e+07  2.67e+05  2.54e+07  2.32e-01  0.00e+00  0.00e+00 
2.871e+13    8      0        0  3.01e+08  0.00e+00  0.00e+00  9.97e+39  1.35e-11  6.92e+12  2.95e+05  2.95e+05 -5.91e+01  1.04e+02  2.23e+05  2.24e+05  7.39e+00  3.90e+43  3.90e+43  3.90e+43  2.67e+07  2.64e+05  2.63e+07  3.65e-01  0.00e+00  0.00e+00 
2.964e+13    9      0        0  2.88e+08  0.00e+00  0.00e+00  1.10e+40  1.32e-11  6.78e+12  2.93e+05  2.93e+05  9.41e+01  1.23e+02  2.26e+05  2.26e+05  6.96e+00  4.09e+43  4.09e+43  4.09e+43  2.76e+07  2.61e+05  2.72e+07  8.00e-01  0.00e+00  0.00e+00 
